calendar_year,calendar_week,simulation_count,thermal_generation_p05_gwh,thermal_generation_p25_gwh,thermal_generation_median_gwh,thermal_generation_p75_gwh,thermal_generation_p95_gwh,thermal_generation_positive_share,thermal_peak_block_median_mw,thermal_peak_block_p95_mw
2026,24,91,40.64906477281668,69.68209449451797,72.28453966755998,82.21774587560296,114.27421568042016,1.0,765.2269833779987,1036.3084841956809
2026,25,91,58.85869496045674,72.48864811732021,74.12584009583668,80.99696626062243,119.01684200370694,1.0,827.0,1101.161372387704
2026,26,91,50.73268005506089,70.67993382050133,73.53525197270736,85.64000000000001,117.70864240797958,1.0,827.7625986353677,1042.490039396855
2026,27,91,65.41368524843003,75.15594092425825,81.42956837300287,94.79060686078098,127.8502457358996,1.0,1039.7223733840124,1308.1673207282736
2026,28,91,38.125097770713566,73.88660164200037,76.89518875885938,88.11392903749709,132.141443235748,1.0,925.3702648790508,1283.9042401459392
2026,29,91,36.23780394640903,73.00645834853388,75.07078486836244,87.0611372705425,130.96049139939407,1.0,847.1373683511416,1114.8808441276415
2026,30,91,40.137952696201836,76.20690389219075,79.35769476266199,96.37568622959321,144.9889929225467,1.0,1033.966228612775,1296.1104851486368
2026,31,91,40.32284915318375,75.45686488233295,84.73879410477642,96.1094157929326,140.7702320341749,1.0,1057.5763491082982,1399.8484879500388
2026,32,91,42.273185780900064,82.21433612848304,92.56157489756544,106.59663055106702,148.07016668038204,1.0,1189.8616180503336,1489.7463409599127
2026,33,91,35.91752617820513,71.24287701221348,75.12227085804712,90.1323750413226,144.15827245374882,1.0,840.6122455331406,1144.7705428287704
2026,34,91,32.339361860418194,69.64287315401994,73.67845415450893,94.26907562325172,145.07552815589656,1.0,833.0,1203.1844207275365
2026,35,91,12.246704989369787,64.3265200650646,69.75325528632362,85.64000000000001,128.46786093600218,1.0,638.6627643161813,1046.1014700443611
2026,36,91,12.686002345713609,66.56115851627877,72.38466327126685,88.28594272422113,120.68479517277586,1.0,762.853369094239,979.3767266599436
2026,37,91,9.831877441025144,55.697819510864136,73.09556892560187,85.11293134406812,137.55680543826082,1.0,804.1284732381417,1074.1559752596856
2026,38,91,6.078314333544342,60.36989187615586,66.93527673997266,80.94224898281952,118.12,1.0,504.1604049012438,833.0
2026,39,91,2.8431492349880862,42.09926222850867,64.97494277926941,75.34467439318544,112.0379169243963,0.978021978021978,443.79547295972327,833.0
2026,40,91,4.227250120415324,42.9803080739031,65.65452050534621,70.93104588667526,118.06508004847564,0.967032967032967,440.0577878663985,833.0
2026,41,91,0.0,27.52539525776878,64.68,67.1437822683769,113.71490703414206,0.8681318681318682,385.0,833.0
2026,42,91,0.0,30.8,64.68,67.94581708231122,117.46624791056495,0.8791208791208791,385.0,833.0
2026,43,91,0.0,25.51206952315124,60.420127503833754,64.68,113.55730272378817,0.8681318681318682,385.0,833.0
2026,44,91,0.0,15.486529707196949,56.71097302724794,64.68,114.25593697047411,0.8241758241758241,385.0,790.0
2026,45,91,0.0,8.8,18.887609790666417,30.26202822005036,69.72,0.8131868131868132,130.38048953332097,415.0
2026,46,91,0.0,0.0,0.0,19.28900284350155,53.592,0.4945054945054945,0.0,319.0
2026,47,91,0.0,0.0,0.0,24.401026754321318,65.688,0.4835164835164835,0.0,391.0
2026,48,91,0.0,13.2,27.72,43.72,85.9540657636342,0.7692307692307693,165.0,613.0
2026,49,91,0.0,27.92580888195048,64.68,80.68,109.4179081917308,0.8131868131868132,385.0,833.0
2026,50,91,0.0,30.8,64.68,80.68,108.40567320879326,0.8131868131868132,385.0,833.0
2026,51,91,0.0,28.196737261029092,64.68,80.68,100.52000000000001,0.8021978021978022,385.0,833.0
