simulation,calendar_year,calendar_week,thermal_generation_gwh,thermal_peak_block_mw
3,2026,30,78.64927401982473,1083.4637009912367
3,2026,31,75.90378008055714,946.1890040278566
3,2026,32,82.75066582911637,1098.5971582847578
3,2026,33,73.31984457236503,816.9922286182513
3,2026,34,59.567334520356965,828.6251966635916
3,2026,35,67.99308792869584,638.2051465598242
3,2026,36,71.53408931877567,727.7044659387838
3,2026,37,74.64932222099151,860.5907989606013
3,2026,38,80.73914482822903,826.6447652528631
3,2026,39,70.09753219919844,675.1266099599219
3,2026,40,69.02425382394125,602.2126911970628
3,2026,41,64.68,385.0
3,2026,42,64.68,385.0
3,2026,43,61.71961456687361,385.0
3,2026,44,56.62712567605678,385.0
3,2026,45,19.619999999999997,167.0
3,2026,46,1.0133406000605178,50.667030003025886
3,2026,47,4.993018214460092,143.0
3,2026,48,37.77895382949821,334.94600717507154
3,2026,49,74.06504354859982,585.0
3,2026,50,66.51364245057776,476.68212252888793
3,2026,51,80.68,585.0
4,2025,52,0.0,0.0
4,2026,1,0.0,0.0
4,2026,2,0.0,0.0
4,2026,3,0.19707686994759,9.853843497379499
4,2026,4,3.9043156804399475,195.21578402199737
4,2026,5,2.167259150775272,108.3629575387636
4,2026,6,3.6798608445123246,183.99304222561622
4,2026,7,0.7006621484167633,35.033107420838164
4,2026,8,9.552875205515203,212.532353712116
4,2026,9,2.289810323608446,114.49051618042229
4,2026,10,0.0,0.0
4,2026,11,16.244058613584286,277.32970645438945
4,2026,12,35.210755555411055,605.5377777705528
4,2026,13,52.675547440828694,461.592922513319
4,2026,14,33.58177090703709,385.0
4,2026,15,48.29310835247222,448.7746330781846
4,2026,16,52.317357178556804,385.0
4,2026,17,30.8,385.0
4,2026,18,37.735755830024935,731.0719805688407
4,2026,19,47.43793303220215,877.3560098854123
4,2026,20,43.589200117557,666.6877249519489
4,2026,21,71.35380843223936,718.6904216119683
4,2026,22,71.10399571547218,706.1997857736087
4,2026,23,76.38503168628185,970.2515843140923
4,2026,24,75.82243271220398,942.1216356101985
4,2026,25,76.33670087172453,967.8350435862266
4,2026,26,75.49260237690294,925.6301188451471
4,2026,27,78.42477835185474,1039.7223733840124
4,2026,28,81.79019080130377,1073.9042822248025
4,2026,29,74.25902470282017,863.9512351410087
4,2026,30,85.37606989866644,1151.1995453034883
4,2026,31,91.61945089044373,1131.9725445221861
4,2026,32,96.12489045405522,1286.6479891177157
4,2026,33,72.99276191787825,800.638095893912
4,2026,34,71.60685513441476,731.3427567207372
4,2026,35,63.42973327611086,427.9667421610011
4,2026,36,68.68,585.0
4,2026,37,68.21443368998291,561.721684499145
4,2026,38,65.51191838359927,426.5959191799628
4,2026,39,64.295,385.0
4,2026,40,64.85991815403138,393.99590770156885
4,2026,41,4.225295882853158,211.26479414265788
4,2026,42,3.2538460496329424,162.69230248164712
4,2026,43,7.5498172322333685,236.5675467029173
4,2026,44,0.0,0.0
4,2026,45,0.0,0.0
4,2026,46,0.0,0.0
4,2026,47,0.0,0.0
4,2026,48,0.0,0.0
4,2026,49,0.0,0.0
4,2026,50,0.0,0.0
4,2026,51,0.0,0.0
5,2025,52,0.0,0.0
5,2026,1,0.0,0.0
5,2026,2,0.0,0.0
5,2026,3,0.0,0.0
5,2026,4,2.224791914309743,111.23959571548717
5,2026,5,3.8173331871104783,190.86665935552392
5,2026,6,2.105099414549184,105.25497072745921
5,2026,7,2.6355601115622376,131.77800557811187
5,2026,8,31.292765066959607,409.63825334798025
5,2026,9,19.872404156252784,348.90262389026066
5,2026,10,2.129922753883628,106.4961376941814
5,2026,11,37.57695736990495,385.0
5,2026,12,67.13950398191841,507.97519909592006
5,2026,13,47.41177566585367,385.0
5,2026,14,39.178236441669206,385.0
5,2026,15,8.04375786354494,374.1723035097564
5,2026,16,24.667782397732523,385.0
5,2026,17,30.8,385.0
5,2026,18,58.609496442887206,763.1652120238973
5,2026,19,43.32207228795778,824.93144597486
5,2026,20,13.029622282121561,385.0
5,2026,21,42.837792939075555,605.5258701611228
5,2026,22,48.460328161532274,385.0
5,2026,23,57.17086547244586,623.035132442514
5,2026,24,70.82617562431213,692.308781215606
5,2026,25,73.49926056755231,825.9630283776158
5,2026,26,73.45116021427225,823.5580107136125
5,2026,27,83.48577693894242,1091.0662382760179
5,2026,28,76.89518875885938,995.7594379429686
5,2026,29,74.66230939456108,884.1154697280541
5,2026,30,82.3322576194702,1170.4453240085436
5,2026,31,92.38639810172316,1189.8384160278322
5,2026,32,103.80814369269768,1377.6887804677208
5,2026,33,78.74795176075492,1088.397588037745
5,2026,34,81.88032405601658,1024.6735709755862
5,2026,35,77.74944300953175,833.0
5,2026,36,91.75714524786154,914.5307325133087
5,2026,37,85.01285794146305,975.5313622813992
5,2026,38,103.24000000000001,833.0
5,2026,39,115.07995546062409,808.0825910104015
5,2026,40,118.01016009695127,833.0
5,2026,41,139.94400000000002,833.0
5,2026,42,139.94400000000002,833.0
5,2026,43,137.64012060610096,833.0
5,2026,44,132.72,790.0
5,2026,45,110.43508064690866,1135.0
5,2026,46,100.45521294518514,1039.0
5,2026,47,68.28477507085016,520.8387535425076
5,2026,48,112.40549231871864,1084.074615935932
5,2026,49,139.94400000000002,833.0
5,2026,50,139.94400000000002,833.0
5,2026,51,139.94400000000002,833.0
6,2025,52,0.0,0.0
6,2026,1,0.0,0.0
6,2026,2,0.0,0.0
6,2026,3,7.998016296813999,262.3214803117158
6,2026,4,5.144594724764837,257.22973623824186
6,2026,5,22.17959424822346,385.0
6,2026,6,4.5701878186447225,228.5093909322361
6,2026,7,6.055241890773811,191.81776696631192
6,2026,8,24.485210118296738,385.0
6,2026,9,25.984493251397556,385.0
6,2026,10,16.753856752471993,361.3904965314444
6,2026,11,39.39242808687829,385.0
6,2026,12,34.69072141004793,579.5360705023962
6,2026,13,32.87079334418759,431.7654577210574
6,2026,14,30.8,385.0
6,2026,15,51.71683408260215,396.9304779643571
6,2026,16,20.071054854645272,385.0
6,2026,17,34.14865746660111,385.0
6,2026,18,58.187872308256715,729.9454083848467
6,2026,19,91.6515522783416,1013.9780442896398
6,2026,20,73.64000000000001,833.0
6,2026,21,74.88500406609958,895.2502033049791
6,2026,22,71.83260824575868,742.6304122879343
6,2026,23,74.18168182026156,860.0840910130775
6,2026,24,73.64000000000001,833.0
6,2026,25,72.5125124462387,776.6256223119354
6,2026,26,72.33796956293847,767.8984781469237
6,2026,27,76.59662657891079,980.8313289455385
6,2026,28,82.4215409302914,1075.9131424436655
6,2026,29,89.3919972490115,1020.5998624505743
6,2026,30,95.97001075785847,1134.9161916458602
6,2026,31,99.03679527113724,1244.5962011045428
6,2026,32,93.90565130442594,1246.282565221297
6,2026,33,80.02458759617366,936.375937737457
6,2026,34,88.11407472101158,956.703736050579
6,2026,35,69.08319100105422,605.1595500527104
6,2026,36,78.810327388328,833.0
6,2026,37,73.341395852094,818.0697926046996
6,2026,38,68.01721568005499,551.8607840027489
6,2026,39,68.29499999999999,585.0
6,2026,40,68.55482472544819,578.7412362724091
