simulation,calendar_year,calendar_week,stage,stored_energy_gwh,thermal_generation_gwh,thermal_peak_block_mw,thermal_positive,stored_energy_gwh_within_week,thermal_generation_gwh_within_week,thermal_peak_block_mw_within_week
82,2026,49,50,2311.164878,64.68,385.0,True,285.3243630219781,8.978155181878982,-30.92628361157341
82,2026,50,51,2302.307749,64.68,385.0,True,183.51747936263746,7.55494936432671,-49.36710116397836
82,2026,51,52,2488.280534,63.87655788731931,385.0,True,235.21093527472522,8.61783003324944,-57.511080998561624
83,2025,52,1,3727.425853,0.0,0.0,False,4.480137219780772,0.0,0.0
83,2026,1,2,3735.643768,0.0,0.0,False,15.503905131867668,0.0,0.0
83,2026,2,3,3581.337865,5.164212474327719,228.57283894933383,True,-92.750541120879,3.0007006355076116,166.83191211490833
83,2026,3,4,3563.361889,29.835590760674208,385.0,True,-62.564273450549535,18.446779041394002,132.49037882303804
83,2026,4,5,3373.818534,30.8,385.0,True,-210.76786812087903,16.017396500603667,92.60906745037039
83,2026,5,6,3417.459899,30.8,385.0,True,-130.84939387912073,11.439812295845517,47.33360842939527
83,2026,6,7,3366.952633,30.8,385.0,True,-125.14367217582458,11.42040345852379,84.8785847375139
83,2026,7,8,3142.198176,30.8,385.0,True,-283.03675807692343,6.541267374568388,80.74010479399936
83,2026,8,9,2933.233192,51.16276943553898,603.3184436009676,True,-454.0604504175826,7.3858777958085255,94.76753509439789
83,2026,9,10,2768.372477,65.78398796679917,556.0846835321422,True,-537.5005243296705,27.0202160032768,133.85937790315495
83,2026,10,11,2692.380027,65.09814787413417,405.9073937067083,True,-578.4116845714284,27.13757483525287,29.952822239702925
83,2026,11,12,2553.706597,100.28,830.0,True,-682.7217324065937,38.914127413403484,270.9151194323433
83,2026,12,13,2327.955319,101.5160469637098,891.8023481854907,True,-844.242520076923,32.94696996018433,223.84188272777203
83,2026,13,14,2162.051165,122.54379585297656,1048.6086511545734,True,-984.3498404835168,54.14831086237798,438.76041377062757
83,2026,14,15,2061.174145,152.67280370013998,1285.0,True,-1051.8994273736266,83.32443081639289,682.1973760747749
83,2026,15,16,2109.473278,127.70065081264416,1163.8850487263232,True,-960.9558809780224,49.213637544021395,450.53405528404653
83,2026,16,17,2055.147975,129.6349380868411,1275.0160753640555,True,-993.0009064945061,50.15436734481017,517.8102417004733
83,2026,17,18,2382.398012,103.69696979518793,991.8484897593958,True,-656.7430290000002,22.70916944539151,242.0765828587413
83,2026,18,19,2456.615305,111.39621728686328,1347.0980080098925,True,-537.3102309340661,9.051551978494544,324.97311915423836
83,2026,19,20,2994.804641,40.24747195954741,857.3735979773705,True,50.16622406593433,-57.065301891434615,-283.9334199111843
83,2026,20,21,3141.112259,56.80779041373252,413.3661009774268,True,238.323596857143,-16.295397501449486,-379.9883680863597
83,2026,21,22,3057.998841,71.47104862911584,724.5524314557924,True,222.25853838461535,-1.6621260614041091,-61.91739161225223
83,2026,22,23,2924.062261,67.53916547250188,527.9582736250936,True,136.70694659340643,-3.1882895259938806,-128.4513999816685
83,2026,23,24,3037.060007,68.60724574229377,581.3622871146879,True,343.37906526373627,-8.978773819383733,-213.98595411294536
83,2026,24,25,3048.096452,68.624367606517,582.2183803258497,True,445.78643419780246,-7.541948145635686,-196.50467792487552
83,2026,25,26,3164.133283,69.16643717032362,609.3218585161808,True,680.0449633626376,-10.390511117785536,-248.98041588670196
83,2026,26,27,3110.725501,69.76826374623309,639.4131873116548,True,733.4784439340656,-8.91777602562884,-170.79261392194837
83,2026,27,28,3081.842279,73.06252332079058,804.1261660395289,True,835.7807829670328,-14.213344681543362,-234.64318426373234
83,2026,28,29,2917.823217,74.33838729694952,867.9193648474761,True,808.2603849010989,-9.060441869308278,-89.52475216640937
83,2026,29,30,2819.312439,70.65054753484121,683.5273767420603,True,838.1193863186811,-9.99571379478806,-180.32273966486196
83,2026,30,31,2689.985552,75.82208352947171,942.1041764735847,True,859.3745989560441,-10.284047097020888,-101.79834942568357
83,2026,31,32,2580.889349,43.781633116997256,901.9522487925558,True,887.2022656043955,-44.510986017338666,-153.70122213000855
83,2026,32,33,2466.49293,41.81644286058852,935.8221430294255,True,905.6927605274723,-52.32882188674267,-259.23845681676755
83,2026,33,34,2400.614412,35.95341561830036,642.670780915018,True,935.8317697692307,-45.71809946295752,-225.18962381040524
83,2026,34,35,2269.417629,35.57452324706334,623.7261623531667,True,924.873189912088,-43.45892964267338,-219.96998916204336
83,2026,35,36,2173.695019,30.8,385.0,True,924.5282299890107,-40.71351638375236,-277.41686092958787
