point_of_connection,network,island,reconciled_injection_mwh
KWA0111,CKHK,NI,26.735
LTN0331,POCO,NI,11456.871
LTN2201,MRPL,NI,75204.297
MAN2201,MERI,SI,457354.919
MAT1101,BOPD,NI,8907.822
MAT1101,CNIR,NI,16527.655
MCH0111,TASM,SI,1045.241
MGM0331,POCO,NI,17.839
MHO0331,ELEC,NI,6209.598
MKE1101,TODD,NI,16940.731
MLG0111,CKHK,NI,31.977
MLG0331,CKHK,NI,44.925
MNG0331,VECT,NI,197.599
MPE1101,NPOW,NI,993.863
MST0331,POCO,NI,503.447
MTI2201,MRPL,NI,69688.44
MTM0331,POCO,NI,517.817
MTN0331,POCO,NI,45.15
MTO0331,NPOW,NI,152.762
MTR0331,POCO,NI,4.274
NAP2201,NAPJ,NI,108255.405
NAP2202,MRPL,NI,63515.426
NMA0331,TPCO,SI,17604.394
NPK0331,LINE,NI,3.502
NSY0331,OTPO,SI,3202.0
NWD0661,ORON,SI,57.444
OAM0331,WATA,SI,62.877
OHA2201,MERI,SI,93322.571
OHB2201,MERI,SI,77443.944
OHC2201,MERI,SI,77133.979
OHK2201,MRPL,NI,32048.42
OKI2201,CTCT,NI,27220.378
OKN0111,LINE,NI,10.151
OKN0111,POCO,NI,170.365
ONG0331,LINE,NI,2153.782
OPK0331,POCO,NI,25.871
ORO1101,BUEL,SI,4.991
ORO1102,BUEL,SI,672.433
OTA0221,VECT,NI,190.331
OWH0111,HAWK,NI,51.641
PAK0331,VECT,NI,236.471
PAO1101,POCO,NI,74.994
PEN0221,VECT,NI,69.981
PEN0251,NZRN,NI,82.588
PEN0331,VECT,NI,288.44
PEN1101,VECT,NI,96.927
PNI0331,CKHK,NI,59.898
PPI2201,CTCT,NI,1992.165
PRM0331,ELEC,NI,367.049
RDF0331,HAWK,NI,1000.746
RFN1102,WPOW,SI,0.285
ROS0221,VECT,NI,137.786
ROS1101,VECT,NI,88.957
ROT0111,HAWK,NI,54.608
ROT0331,HAWK,NI,1029.67
ROT1101,CNIR,NI,4279.97
ROX1101,CTCT,SI,25933.746
ROX2201,CTCT,SI,70730.186
RPO2201,GENE,NI,17921.605
SBK0661,MPOW,SI,397.24
SDN0331,DUNE,SI,50.208
SFD0331,POCO,NI,866.46
SFD2201,CTCT,NI,201338.669
STK0331,NELS,SI,106.28
STK0331,TASM,SI,757.156
STK0661,TASM,SI,6761.625
STU0111,ALPE,SI,16.015
SVL0331,UNET,NI,7239.99
SWN0251,NZRN,NI,109.332
TAK0331,VECT,NI,2641.096
TGA0111,POCO,NI,100.851
TGA0331,POCO,NI,16373.763
THI2201,CTCT,NI,122326.044
TIM0111,ALPE,SI,105.691
TKA0111,GENE,SI,7140.317
TKA0331,ALPE,SI,9.77
TKB2201,GENE,SI,59852.863
TKR0331,CKHK,NI,186.612
TKU0331,GENE,NI,326.702
TKU0331,LINE,NI,21.792
TKU2201,GENE,NI,27980.836
TMI0331,POCO,NI,146.521
TMK0331,ALPE,SI,52.879
TMN0551,NZRN,NI,0.074
TMU0111,WAIP,NI,196.092
TNG0551,NZRN,NI,0.244
TRK0111,HAWK,NI,42.882
TUI1101,EAST,NI,1001.764
TUI1101,GENE,NI,37742.595
TWC2201,TRPG,NI,41179.932
TWH0331,WAIK,NI,18858.868
TWZ0331,ALPE,SI,39.92
TWZ0331,WATA,SI,4.464
UHT0331,CKHK,NI,84.372
WAI0111,HEDL,NI,30.537
WAI0501,HEDL,NI,1.488
WDV0111,SCAN,NI,6.575
WDV1101,MERI,NI,23002.895
WEL0331,UNET,NI,186.587
WGN0331,POCO,NI,52.556
WHU0331,POCO,NI,60.805
WIL0331,CKHK,NI,20720.785
WIR0331,VECT,NI,174.32
WKM2201,MRPL,NI,40837.89
WKM2201,TUAR,NI,71144.171
WKO0331,POCO,NI,144.757
WPA2201,MRPL,NI,18434.16
WPR0331,MPOW,SI,69.886
WPR0661,MPOW,SI,1563.162
WPW0331,CHBP,NI,144.39
WRD0331,UNET,NI,85.827
WRK0331,HAWK,NI,35424.938
WRK2201,CTCT,NI,94940.142
WTK0111,MERI,SI,34978.27
WTK0111,WATA,SI,31.505
WTU0331,HAWK,NI,311.639
WVY0111,POCO,NI,9.649
WVY1101,WPWF,NI,44870.36
WWD1102,MERI,NI,35278.944
