point_of_connection,network,island,reconciled_injection_mwh
TIM0111,ALPE,SI,49.949
TKA0111,GENE,SI,12501.978
TKA0331,ALPE,SI,5.24
TKB2201,GENE,SI,72968.064
TKR0331,CKHK,NI,77.731
TKU0331,GENE,NI,426.961
TKU0331,LINE,NI,179.794
TKU2201,GENE,NI,43719.175
TMI0331,POCO,NI,79.205
TMK0331,ALPE,SI,24.569
TMN0551,NZRN,NI,4.876
TMU0111,WAIP,NI,230.552
TNG0551,NZRN,NI,3.953
TRK0111,HAWK,NI,23.043
TUI1101,EAST,NI,1312.322
TUI1101,GENE,NI,19892.04
TWC2201,TRPG,NI,27379.653
TWH0331,WAIK,NI,16245.942
TWZ0331,ALPE,SI,20.149
TWZ0331,WATA,SI,15.252
UHT0331,CKHK,NI,35.532
WAI0111,HEDL,NI,20.857
WAI0501,HEDL,NI,1.488
WDV0111,SCAN,NI,2.784
WDV1101,MERI,NI,16952.918
WEL0331,UNET,NI,102.159
WGN0331,POCO,NI,24.691
WHI2201,CTCT,NI,985.173
WHU0331,POCO,NI,42.003
WIL0331,CKHK,NI,12885.538
WIR0331,VECT,NI,104.494
WKM2201,MRPL,NI,46088.0
WKM2201,TUAR,NI,71389.616
WKO0331,POCO,NI,543.558
WPA2201,MRPL,NI,20556.09
WPR0331,MPOW,SI,47.883
WPR0661,MPOW,SI,1563.312
WPW0331,CHBP,NI,77.883
WRD0331,UNET,NI,46.543
WRK0331,HAWK,NI,38210.991
WRK2201,CTCT,NI,97767.891
WTK0111,MERI,SI,45287.866
WTK0111,WATA,SI,45.146
WTU0331,HAWK,NI,149.864
WVY0111,POCO,NI,6.948
WVY1101,WPWF,NI,34770.535
WWD1102,MERI,NI,25934.937
