point_of_connection,network,island,reconciled_injection_mwh
STK0661,TASM,SI,4322.311
STU0111,ALPE,SI,16.93
SVL0331,UNET,NI,6565.121
SWN0251,NZRN,NI,88.174
TAK0331,VECT,NI,3180.351
TGA0111,POCO,NI,120.132
TGA0331,POCO,NI,15233.786
THI2201,CTCT,NI,107768.096
TIM0111,ALPE,SI,127.223
TKA0111,GENE,SI,13465.34
TKA0331,ALPE,SI,11.067
TKB2201,GENE,SI,74749.635
TKR0331,CKHK,NI,232.333
TKU0331,GENE,NI,521.579
TKU0331,LINE,NI,24.404
TKU2201,GENE,NI,48693.992
TMI0331,POCO,NI,174.389
TMK0331,ALPE,SI,63.914
TMN0551,NZRN,NI,0.209
TMU0111,WAIP,NI,228.866
TNG0551,NZRN,NI,0.096
TRK0111,HAWK,NI,49.096
TUI1101,EAST,NI,1212.965
TUI1101,GENE,NI,36912.299
TWC2201,TRPG,NI,35268.07
TWH0331,WAIK,NI,11759.379
TWZ0331,ALPE,SI,46.265
TWZ0331,WATA,SI,5.22
UHT0331,CKHK,NI,99.278
WAI0111,HEDL,NI,33.592
WAI0501,HEDL,NI,1.392
WDV0111,SCAN,NI,7.207
WDV1101,MERI,NI,22219.381
WEL0331,UNET,NI,212.123
WGN0331,POCO,NI,68.927
WHI2201,CTCT,NI,63.6
WHU0331,POCO,NI,68.251
WIL0331,CKHK,NI,22975.497
WIR0331,VECT,NI,199.092
WKM2201,MRPL,NI,43926.29
WKM2201,TUAR,NI,56307.064
WKO0331,POCO,NI,208.651
WPA2201,MRPL,NI,20243.433
WPR0331,MPOW,SI,77.462
WPR0661,MPOW,SI,680.964
WPW0331,CHBP,NI,184.618
WRD0331,UNET,NI,105.083
WRK0331,HAWK,NI,34662.05
WRK2201,CTCT,NI,83510.412
WTK0111,MERI,SI,39387.516
WTK0111,WATA,SI,36.841
WTU0331,HAWK,NI,362.218
WVY0111,POCO,NI,13.035
WVY1101,WPWF,NI,32257.27
WWD1102,MERI,NI,45417.615
