point_of_connection,network,island,reconciled_injection_mwh
MCH0111,TASM,SI,1423.108
MGM0331,POCO,NI,26.695
MHO0331,ELEC,NI,6105.513
MKE1101,TODD,NI,20350.808
MLG0111,CKHK,NI,50.536
MLG0331,CKHK,NI,66.834
MNG0331,VECT,NI,237.19
MPE1101,NPOW,NI,1606.492
MST0331,POCO,NI,572.966
MTI2201,MRPL,NI,77265.63
MTM0331,POCO,NI,688.469
MTN0331,POCO,NI,60.549
MTO0331,NPOW,NI,190.95
MTR0331,POCO,NI,7.953
NAP2201,NAPJ,NI,107346.355
NAP2202,MRPL,NI,60646.437
NMA0331,TPCO,SI,14955.768
NPK0331,LINE,NI,6.018
NSY0331,OTPO,SI,3796.206
NWD0661,ORON,SI,47.077
OAM0331,WATA,SI,86.775
OHA2201,MERI,SI,112423.342
OHB2201,MERI,SI,94114.113
OHC2201,MERI,SI,93650.71
OHK2201,MRPL,NI,34131.93
OKI2201,CTCT,NI,25396.16
OKN0111,LINE,NI,13.921
OKN0111,POCO,NI,216.098
ONG0331,LINE,NI,3107.127
OPK0331,POCO,NI,32.998
ORO1101,BUEL,SI,7.075
ORO1102,BUEL,SI,1438.196
OTA0221,VECT,NI,239.295
OWH0111,HAWK,NI,55.62
PAK0331,VECT,NI,360.155
PAO1101,POCO,NI,83.459
PEN0221,VECT,NI,99.038
PEN0251,NZRN,NI,53.054
PEN0331,VECT,NI,426.891
PEN1101,VECT,NI,107.633
PNI0331,CKHK,NI,85.252
PPI2201,CTCT,NI,26801.881
PRM0331,ELEC,NI,507.076
RDF0331,HAWK,NI,1200.584
RFN1102,WPOW,SI,0.475
ROS0221,VECT,NI,200.71
ROS1101,VECT,NI,137.86
ROT0111,HAWK,NI,64.922
ROT0331,HAWK,NI,462.827
ROT1101,CNIR,NI,8366.392
ROX1101,CTCT,SI,39795.91
ROX2201,CTCT,SI,107313.722
RPO2201,GENE,NI,45028.213
SBK0661,MPOW,SI,584.896
SDN0331,DUNE,SI,60.102
SFD0331,POCO,NI,1034.723
SFD2201,CTCT,NI,125229.612
STK0331,NELS,SI,152.825
STK0331,TASM,SI,1029.78
STK0661,TASM,SI,8180.813
STU0111,ALPE,SI,20.662
SVL0331,UNET,NI,7345.456
SWN0251,NZRN,NI,43.777
TAK0331,VECT,NI,3756.817
TGA0111,POCO,NI,127.296
TGA0331,POCO,NI,18120.671
THI2201,CTCT,NI,117851.01
TIM0111,ALPE,SI,154.309
TKA0111,GENE,SI,11330.969
TKA0331,ALPE,SI,12.198
TKB2201,GENE,SI,66157.137
TKR0331,CKHK,NI,288.335
TKU0331,GENE,NI,514.533
TKU0331,LINE,NI,24.033
TKU2201,GENE,NI,64197.644
TMI0331,POCO,NI,187.841
TMK0331,ALPE,SI,82.993
TMN0551,NZRN,NI,0.04
TMU0111,WAIP,NI,225.808
TRK0111,HAWK,NI,52.179
TUI1101,EAST,NI,1121.167
TUI1101,GENE,NI,40789.604
TWC2201,TRPG,NI,29752.163
TWH0331,WAIK,NI,11470.559
TWZ0331,ALPE,SI,49.381
TWZ0331,WATA,SI,7.44
UHT0331,CKHK,NI,114.41
WAI0111,HEDL,NI,34.998
WAI0501,HEDL,NI,1.86
WDV0111,SCAN,NI,8.178
WDV1101,MERI,NI,18286.042
WEL0331,UNET,NI,231.647
WGN0331,POCO,NI,71.912
WHI2201,CTCT,NI,106.82
WHU0331,POCO,NI,77.16
WIL0331,CKHK,NI,18189.343
WIR0331,VECT,NI,227.791
WKM2201,MRPL,NI,44604.65
WKM2201,TUAR,NI,40420.011
WKO0331,POCO,NI,385.736
WPA2201,MRPL,NI,19814.49
WPR0331,MPOW,SI,91.611
WPR0661,MPOW,SI,1497.477
WPW0331,CHBP,NI,189.533
WRD0331,UNET,NI,118.112
WRK0331,HAWK,NI,35993.398
WRK2201,CTCT,NI,87229.243
WTK0111,MERI,SI,43262.595
WTK0111,WATA,SI,53.505
WTU0331,HAWK,NI,409.215
WVY0111,POCO,NI,13.065
WVY1101,WPWF,NI,28258.066
WWD1102,MERI,NI,36631.706
