point_of_connection,network,island,reconciled_injection_mwh
RFN1102,WPOW,SI,0.174
ROS0221,VECT,NI,97.021
ROS1101,VECT,NI,62.525
ROT0111,HAWK,NI,36.349
ROT0331,HAWK,NI,870.038
ROT1101,CNIR,NI,5482.699
ROX1101,CTCT,SI,37990.53
ROX2201,CTCT,SI,109146.96
RPO2201,GENE,NI,20661.713
SBK0661,MPOW,SI,270.891
SDN0331,DUNE,SI,27.308
SFD0331,POCO,NI,1154.54
SFD2201,CTCT,NI,58250.114
STK0331,NELS,SI,59.123
STK0331,TASM,SI,452.428
STK0661,TASM,SI,10189.552
STU0111,ALPE,SI,12.666
SVL0331,UNET,NI,7145.131
SWN0251,NZRN,NI,133.321
TAK0331,VECT,NI,3217.784
TGA0111,POCO,NI,76.645
TGA0331,POCO,NI,15517.043
THI2201,CTCT,NI,115706.869
TIM0111,ALPE,SI,72.236
TKA0111,GENE,SI,10766.296
TKA0331,ALPE,SI,8.803
TKB2201,GENE,SI,61970.331
TKR0331,CKHK,NI,132.894
TKU0331,GENE,NI,319.673
TKU0331,LINE,NI,13.411
TKU2201,GENE,NI,29116.798
TMI0331,POCO,NI,108.105
TMK0331,ALPE,SI,38.557
TMN0551,NZRN,NI,8.037
TMU0111,WAIP,NI,133.644
TNG0551,NZRN,NI,7.279
TRK0111,HAWK,NI,28.703
TUI1101,EAST,NI,937.303
TUI1101,GENE,NI,26057.481
TWC2201,TRPG,NI,27796.09
TWH0331,WAIK,NI,14890.773
TWZ0331,ALPE,SI,27.192
TWZ0331,WATA,SI,10.45
UHT0331,CKHK,NI,58.867
WAI0111,HEDL,NI,23.725
WAI0501,HEDL,NI,1.44
WDV0111,SCAN,NI,4.465
WDV1101,MERI,NI,17466.696
WEL0331,UNET,NI,128.039
WGN0331,POCO,NI,36.186
WHI2201,CTCT,NI,256.746
WHU0331,POCO,NI,47.765
WIL0331,CKHK,NI,16060.512
WIR0331,VECT,NI,117.607
WKM2201,MRPL,NI,42090.93
WKM2201,TUAR,NI,69952.19
WKO0331,POCO,NI,99.755
WPA2201,MRPL,NI,13856.91
WPR0331,MPOW,SI,52.011
WPR0661,MPOW,SI,1463.878
WPW0331,CHBP,NI,108.194
WRD0331,UNET,NI,59.928
WRK0331,HAWK,NI,36158.131
WRK2201,CTCT,NI,91697.39
WTK0111,MERI,SI,38270.494
WTK0111,WATA,SI,47.445
WTU0331,HAWK,NI,232.627
WVY0111,POCO,NI,7.659
WVY1101,WPWF,NI,28859.388
WWD1102,MERI,NI,33104.989
