point_of_connection,network,island,reconciled_injection_mwh
NAP2201,NAPJ,NI,97389.276
NAP2202,MRPL,NI,62387.275
NMA0331,TPCO,SI,12009.286
NPK0331,LINE,NI,6.472
NSY0331,OTPO,SI,3908.681
NWD0661,ORON,SI,37.821
OAM0331,WATA,SI,126.135
OHA2201,MERI,SI,104819.67
OHB2201,MERI,SI,87696.929
OHC2201,MERI,SI,86933.11
OHK2201,MRPL,NI,23717.43
OKI2201,CTCT,NI,21882.983
OKN0111,LINE,NI,14.235
OKN0111,POCO,NI,88.608
ONG0331,LINE,NI,1868.744
OPK0331,POCO,NI,38.72
ORO1101,BUEL,SI,7.912
ORO1102,BUEL,SI,1521.156
OTA0221,VECT,NI,255.042
OWH0111,HAWK,NI,83.273
PAK0331,VECT,NI,473.139
PAO1101,POCO,NI,132.171
PEN0221,VECT,NI,132.508
PEN0251,NZRN,NI,64.677
PEN0331,VECT,NI,535.837
PEN1101,VECT,NI,117.287
PNI0331,CKHK,NI,89.059
PPI2201,CTCT,NI,27571.982
PRM0331,ELEC,NI,490.175
RDF0331,HAWK,NI,1875.124
RFN1101,WPOW,SI,0.744
RFN1102,WPOW,SI,0.465
ROS0221,VECT,NI,281.602
ROS1101,VECT,NI,175.119
ROT0111,HAWK,NI,92.07
ROT0331,HAWK,NI,579.036
ROT1101,CNIR,NI,6694.002
ROX1101,CTCT,SI,58429.548
ROX2201,CTCT,SI,94998.534
RPO2201,GENE,NI,40007.079
SBK0661,MPOW,SI,711.625
SDN0331,DUNE,SI,87.382
SFD0331,POCO,NI,126.412
SFD2201,CTCT,NI,3776.579
STK0331,NELS,SI,174.769
STK0331,TASM,SI,1226.55
STK0661,TASM,SI,6521.955
STU0111,ALPE,SI,28.292
SVL0331,UNET,NI,7992.839
SWN0251,NZRN,NI,82.224
TAB0331,HAWK,NI,33220.056
TAB2201,CTCT,NI,115359.712
TAK0331,VECT,NI,4046.939
TGA0111,POCO,NI,189.797
TGA0331,POCO,NI,12885.809
THI2201,CTCT,NI,121447.611
TIM0111,ALPE,SI,198.672
TKA0111,GENE,SI,20330.871
TKA0331,ALPE,SI,19.958
TKB2201,GENE,SI,110422.319
TKR0331,CKHK,NI,278.311
TKU0331,GENE,NI,544.26
TKU0331,LINE,NI,31.521
TKU2201,GENE,NI,42299.366
TMI0331,POCO,NI,248.692
TMK0331,ALPE,SI,95.15
TMN0551,NZRN,NI,8.163
TMU0111,WAIP,NI,422.923
TNG0551,NZRN,NI,7.853
TRK0111,HAWK,NI,75.908
TUI1101,EAST,NI,1643.922
TUI1101,GENE,NI,24212.298
TWC2201,TRPG,NI,37521.212
TWH0331,WAIK,NI,15784.188
TWZ0331,ALPE,SI,57.948
TWZ0331,WATA,SI,12.465
UHT0331,CKHK,NI,108.637
WAI0111,HEDL,NI,49.613
WAI0331,LODE,NI,30.355
WAI0501,HEDL,NI,1.86
WDV0111,SCAN,NI,6.69
WDV1101,MERI,NI,16617.391
WEL0331,UNET,NI,335.387
WGN0331,POCO,NI,103.312
WHI2201,CTCT,NI,45.939
WHU0331,POCO,NI,137.535
WIL0331,CKHK,NI,25374.058
WIR0331,VECT,NI,395.404
WKM2201,MRPL,NI,30809.45
WKM2201,TUAR,NI,72021.283
WKO0331,POCO,NI,973.368
WPA2201,MRPL,NI,14823.0
WPR0331,MPOW,SI,129.236
WPR0661,MPOW,SI,1675.834
WPW0331,CHBP,NI,218.302
WRD0331,UNET,NI,160.109
WRK0331,HAWK,NI,25940.797
WRK2201,CTCT,NI,64485.177
WTK0111,MERI,SI,45919.831
WTK0111,WATA,SI,65.446
WTU0331,HAWK,NI,420.438
WVY0111,POCO,NI,8.797
WVY1101,WPWF,NI,43296.041
WWD1102,MERI,NI,36840.905
WWD1103,MERI,NI,18804.087
