date,series_type,plant_group,site_code,site,island_code,flow_type,flow_m3s,volume_mm3_day,quality_code,source_file
1980-01-07,spill,Manapouri,MAN,Manapouri spill,SI,Spill/release,0.4050925925925926,0.035,200,SI_MAN_Spill_LakeManapouri.csv
1980-01-07,spill,Waitaki river,OHA,Lake Ohau to Ruataniwha via Ohau River,SI,Spill/release,0.0,0.0,200,SI_OHA_Spill_LakeOhau.csv
1980-01-07,spill,Waitaki river,PKI,Lake Pukaki to Benmore via Pukaki River,SI,Spill/release,296.099537037037,25.583,200,SI_PKI_Spill_LakePukaki.csv
1980-01-07,spill,Manapouri,TAU,Lake Te Anau outflow/spill,SI,Spill/release,226.84027777777777,19.599,200,SI_TAU_Spill_LakeTeAnau.csv
1980-01-07,spill,Waitaki river,TKA,Lake George Scott to Benmore via Tekapo River,SI,Spill/release,158.74999999999997,13.716,200,SI_TKA_Spill_LakeGeorgeScottTekapoRiver.csv
1980-01-07,spill,Waitaki river,TKA,Lake Tekapo Gate 17 to Pukaki via Tekapo Canal,SI,Spill/release,60.96064814814815,5.267,200,SI_TKA_Spill_LakeTekapoGate17.csv
1980-01-07,spill,Waikato river,TPO,Lake Taupo outflow/spill,NI,Spill/release,218.66898148148147,18.893,200,NI_TPO_Spill_LakeTaupo.csv
1980-01-08,spill,Clutha,HWE,Lake Hawea outflow/spill,SI,Spill/release,15.428240740740739,1.333,200,SI_HWE_Spill_LakeHawea.csv
1980-01-08,spill,Manapouri,MAN,Manapouri spill,SI,Spill/release,0.4050925925925926,0.035,200,SI_MAN_Spill_LakeManapouri.csv
1980-01-08,spill,Waitaki river,OHA,Lake Ohau to Ruataniwha via Ohau River,SI,Spill/release,0.0,0.0,200,SI_OHA_Spill_LakeOhau.csv
1980-01-08,spill,Waitaki river,PKI,Lake Pukaki to Benmore via Pukaki River,SI,Spill/release,296.63194444444446,25.629,200,SI_PKI_Spill_LakePukaki.csv
1980-01-08,spill,Manapouri,TAU,Lake Te Anau outflow/spill,SI,Spill/release,201.30787037037038,17.393,200,SI_TAU_Spill_LakeTeAnau.csv
1980-01-08,spill,Waitaki river,TKA,Lake George Scott to Benmore via Tekapo River,SI,Spill/release,121.04166666666666,10.458,200,SI_TKA_Spill_LakeGeorgeScottTekapoRiver.csv
1980-01-08,spill,Waitaki river,TKA,Lake Tekapo Gate 17 to Pukaki via Tekapo Canal,SI,Spill/release,66.85185185185185,5.776,200,SI_TKA_Spill_LakeTekapoGate17.csv
1980-01-08,spill,Waikato river,TPO,Lake Taupo outflow/spill,NI,Spill/release,196.04166666666663,16.938,200,NI_TPO_Spill_LakeTaupo.csv
1980-01-09,spill,Clutha,HWE,Lake Hawea outflow/spill,SI,Spill/release,15.555555555555555,1.344,200,SI_HWE_Spill_LakeHawea.csv
1980-01-09,spill,Manapouri,MAN,Manapouri spill,SI,Spill/release,0.4050925925925926,0.035,200,SI_MAN_Spill_LakeManapouri.csv
1980-01-09,spill,Waitaki river,OHA,Lake Ohau to Ruataniwha via Ohau River,SI,Spill/release,0.0,0.0,200,SI_OHA_Spill_LakeOhau.csv
1980-01-09,spill,Waitaki river,PKI,Lake Pukaki to Benmore via Pukaki River,SI,Spill/release,295.8449074074074,25.561,200,SI_PKI_Spill_LakePukaki.csv
1980-01-09,spill,Manapouri,TAU,Lake Te Anau outflow/spill,SI,Spill/release,181.6087962962963,15.691,200,SI_TAU_Spill_LakeTeAnau.csv
1980-01-09,spill,Waitaki river,TKA,Lake George Scott to Benmore via Tekapo River,SI,Spill/release,117.47685185185185,10.15,200,SI_TKA_Spill_LakeGeorgeScottTekapoRiver.csv
1980-01-09,spill,Waitaki river,TKA,Lake Tekapo Gate 17 to Pukaki via Tekapo Canal,SI,Spill/release,70.10416666666667,6.057,200,SI_TKA_Spill_LakeTekapoGate17.csv
1980-01-09,spill,Waikato river,TPO,Lake Taupo outflow/spill,NI,Spill/release,165.78703703703704,14.324,200,NI_TPO_Spill_LakeTaupo.csv
1980-01-10,spill,Clutha,HWE,Lake Hawea outflow/spill,SI,Spill/release,15.555555555555555,1.344,200,SI_HWE_Spill_LakeHawea.csv
1980-01-10,spill,Manapouri,MAN,Manapouri spill,SI,Spill/release,40.71759259259259,3.518,200,SI_MAN_Spill_LakeManapouri.csv
1980-01-10,spill,Waitaki river,OHA,Lake Ohau to Ruataniwha via Ohau River,SI,Spill/release,0.0,0.0,200,SI_OHA_Spill_LakeOhau.csv
1980-01-10,spill,Waitaki river,PKI,Lake Pukaki to Benmore via Pukaki River,SI,Spill/release,275.0,23.76,200,SI_PKI_Spill_LakePukaki.csv
1980-01-10,spill,Manapouri,TAU,Lake Te Anau outflow/spill,SI,Spill/release,231.099537037037,19.967,200,SI_TAU_Spill_LakeTeAnau.csv
1980-01-10,spill,Waitaki river,TKA,Lake George Scott to Benmore via Tekapo River,SI,Spill/release,118.8310185185185,10.267,200,SI_TKA_Spill_LakeGeorgeScottTekapoRiver.csv
1980-01-10,spill,Waitaki river,TKA,Lake Tekapo Gate 17 to Pukaki via Tekapo Canal,SI,Spill/release,68.35648148148148,5.906,200,SI_TKA_Spill_LakeTekapoGate17.csv
1980-01-10,spill,Waikato river,TPO,Lake Taupo outflow/spill,NI,Spill/release,137.2685185185185,11.86,200,NI_TPO_Spill_LakeTaupo.csv
