date,plant_group,site_code,reservoir,island_code,lake_level_m,active_storage_mm3,contingent_storage_mm3,total_storage_mm3,quality_code,source_file
1980-01-07,Waitaki river,OHA,Lake Ohau,SI,519.726,17.07,,17.07,320,SI_OHA_Storage_LakeOhau.csv
1980-01-07,Waitaki river,PKI,Lake Pukaki,SI,532.506,2426.024,,2426.024,320,SI_PKI_Storage_LakePukaki.csv
1980-01-07,Manapouri,TAU,Lake Te Anau,SI,203.202,824.129,,824.129,320,SI_TAU_Storage_LakeTeAnau.csv
1980-01-07,Waitaki river,TKA,Lake Tekapo,SI,710.937,636.079,0.0,636.079,320,SI_TKA_Storage_LakeTekapo.csv
1980-01-07,Waikato river,TPO,Lake Taupo,NI,357.035,724.406,,724.406,320,NI_TPO_Storage_LakeTaupo.csv
1980-01-07,Clutha,WAN,Lake Wanaka,SI,277.84,471.119,,471.119,320,SI_WAN_Storage_LakeWanaka.csv
1980-01-07,Waikaremoana,WKA,Lake Waikaremoana,NI,583.074,146.158,,146.158,320,NI_WKA_Storage_LakeWaikaremoana.csv
1980-01-07,Clutha,WPU,Lake Wakatipu,SI,310.339,436.077,,436.077,320,SI_WPU_Storage_LakeWakatipu.csv
1980-01-08,Clutha,HWE,Lake Hawea,SI,346.146,2180.357,,2180.357,320,SI_HWE_Storage_LakeHawea.csv
1980-01-08,Manapouri,MAN,Lake Manapouri,SI,178.081,307.783,,307.783,320,SI_MAN_Storage_LakeManapouri.csv
1980-01-08,Waitaki river,OHA,Lake Ohau,SI,519.609,9.789,,9.789,320,SI_OHA_Storage_LakeOhau.csv
1980-01-08,Waitaki river,PKI,Lake Pukaki,SI,532.468,2419.245,,2419.245,320,SI_PKI_Storage_LakePukaki.csv
1980-01-08,Manapouri,TAU,Lake Te Anau,SI,203.169,812.372,,812.372,320,SI_TAU_Storage_LakeTeAnau.csv
1980-01-08,Waitaki river,TKA,Lake Tekapo,SI,710.863,628.74,0.0,628.74,320,SI_TKA_Storage_LakeTekapo.csv
1980-01-08,Waikato river,TPO,Lake Taupo,NI,357.017,713.543,,713.543,320,NI_TPO_Storage_LakeTaupo.csv
1980-01-08,Clutha,WAN,Lake Wanaka,SI,277.781,459.734,,459.734,320,SI_WAN_Storage_LakeWanaka.csv
1980-01-08,Waikaremoana,WKA,Lake Waikaremoana,NI,583.083,146.631,,146.631,320,NI_WKA_Storage_LakeWaikaremoana.csv
1980-01-08,Clutha,WPU,Lake Wakatipu,SI,310.3,424.836,,424.836,320,SI_WPU_Storage_LakeWakatipu.csv
1980-01-09,Clutha,HWE,Lake Hawea,SI,346.172,2184.382,,2184.382,320,SI_HWE_Storage_LakeHawea.csv
1980-01-09,Manapouri,MAN,Lake Manapouri,SI,178.046,302.972,,302.972,320,SI_MAN_Storage_LakeManapouri.csv
