date,fuel,generation_mwh
2020-02-06,Liquid fuel,0.0
2020-02-06,Wind,6393.979
2020-02-06,Wood,833.022
2020-02-07,Coal,6795.859
2020-02-07,Gas,12175.2
2020-02-07,Geothermal,20801.442
2020-02-07,Hydro,65337.686
2020-02-07,Liquid fuel,11.482
2020-02-07,Wind,2998.135
2020-02-07,Wood,757.605
2020-02-08,Coal,4071.621
2020-02-08,Gas,11858.075
2020-02-08,Geothermal,20889.246
2020-02-08,Hydro,56560.69
2020-02-08,Liquid fuel,0.0
2020-02-08,Wind,8705.791
2020-02-08,Wood,785.393
2020-02-09,Coal,4935.77
2020-02-09,Gas,10781.969
2020-02-09,Geothermal,21110.079
2020-02-09,Hydro,59683.061
2020-02-09,Liquid fuel,0.0
2020-02-09,Wind,2389.805
2020-02-09,Wood,772.1
2020-02-10,Coal,6356.692
2020-02-10,Gas,14054.351
2020-02-10,Geothermal,20818.212
2020-02-10,Hydro,64727.428
2020-02-10,Liquid fuel,42.307
2020-02-10,Wind,3278.956
2020-02-10,Wood,770.807
2020-02-11,Coal,6290.153
2020-02-11,Gas,13889.161
2020-02-11,Geothermal,20509.627
2020-02-11,Hydro,66667.099
2020-02-11,Liquid fuel,20.068
2020-02-11,Wind,4609.34
2020-02-11,Wood,788.385
2020-02-12,Coal,6454.906
2020-02-12,Gas,14956.138
2020-02-12,Geothermal,20411.086
2020-02-12,Hydro,69166.728
2020-02-12,Liquid fuel,99.112
2020-02-12,Wind,2459.55
2020-02-12,Wood,805.647
2020-02-13,Coal,5434.278
2020-02-13,Gas,14500.825
2020-02-13,Geothermal,20321.207
2020-02-13,Hydro,68593.202
2020-02-13,Liquid fuel,123.085
2020-02-13,Wind,6985.54
2020-02-13,Wood,737.39
2020-02-14,Coal,6037.961
2020-02-14,Gas,14531.263
2020-02-14,Geothermal,20286.683
2020-02-14,Hydro,68798.886
2020-02-14,Liquid fuel,113.016
2020-02-14,Wind,3956.827
2020-02-14,Wood,678.821
2020-02-15,Coal,5100.717
2020-02-15,Gas,13421.47
2020-02-15,Geothermal,20392.247
2020-02-15,Hydro,63296.735
2020-02-15,Liquid fuel,0.0
2020-02-15,Wind,3224.673
2020-02-15,Wood,635.428
2020-02-16,Coal,4209.971
2020-02-16,Gas,13292.085
2020-02-16,Geothermal,20537.539
2020-02-16,Hydro,60303.467
2020-02-16,Liquid fuel,0.0
2020-02-16,Wind,5150.506
2020-02-16,Wood,645.007
2020-02-17,Coal,3860.603
2020-02-17,Gas,18674.608
2020-02-17,Geothermal,20348.692
2020-02-17,Hydro,68034.056
2020-02-17,Liquid fuel,0.0
2020-02-17,Wind,5778.271
2020-02-17,Wood,792.251
2020-02-18,Coal,5056.424
2020-02-18,Gas,18907.245
2020-02-18,Geothermal,20436.16
2020-02-18,Hydro,69997.033
2020-02-18,Liquid fuel,0.0
2020-02-18,Wind,3840.774
2020-02-18,Wood,756.34
2020-02-19,Coal,4525.064
2020-02-19,Gas,19957.15
2020-02-19,Geothermal,20474.427
2020-02-19,Hydro,67750.552
2020-02-19,Liquid fuel,0.0
2020-02-19,Wind,5216.641
2020-02-19,Wood,452.921
2020-02-20,Coal,4647.726
2020-02-20,Gas,20191.964
2020-02-20,Geothermal,20315.485
2020-02-20,Hydro,70111.592
2020-02-20,Liquid fuel,0.0
2020-02-20,Wind,1822.968
2020-02-20,Wood,436.38
2020-02-21,Coal,4606.457
2020-02-21,Gas,19080.667
2020-02-21,Geothermal,20434.463
2020-02-21,Hydro,64322.354
2020-02-21,Liquid fuel,0.0
2020-02-21,Wind,7119.417
2020-02-21,Wood,677.587
2020-02-22,Coal,3747.813
2020-02-22,Gas,15801.182
2020-02-22,Geothermal,20680.091
2020-02-22,Hydro,58166.134
2020-02-22,Liquid fuel,0.0
2020-02-22,Wind,5606.907
2020-02-22,Wood,762.827
2020-02-23,Coal,3696.456
2020-02-23,Gas,14729.825
2020-02-23,Geothermal,20979.238
2020-02-23,Hydro,53323.24
2020-02-23,Liquid fuel,0.0
2020-02-23,Wind,5517.857
2020-02-23,Wood,727.516
2020-02-24,Coal,4267.831
2020-02-24,Gas,15335.144
2020-02-24,Geothermal,20890.923
2020-02-24,Hydro,66884.049
2020-02-24,Liquid fuel,0.0
2020-02-24,Wind,2395.229
2020-02-24,Wood,731.935
2020-02-25,Coal,4331.433
2020-02-25,Gas,15650.143
2020-02-25,Geothermal,19445.303
2020-02-25,Hydro,68712.561
2020-02-25,Liquid fuel,0.0
2020-02-25,Wind,4065.132
2020-02-25,Wood,736.551
2020-02-26,Coal,4645.792
2020-02-26,Gas,16799.581
2020-02-26,Geothermal,19966.246
2020-02-26,Hydro,70707.211
2020-02-26,Liquid fuel,0.0
2020-02-26,Wind,1893.879
2020-02-26,Wood,738.889
2020-02-27,Coal,5047.889
2020-02-27,Gas,19252.628
2020-02-27,Geothermal,20058.48
2020-02-27,Hydro,65779.545
2020-02-27,Liquid fuel,0.0
2020-02-27,Wind,5044.307
2020-02-27,Wood,732.204
2020-02-28,Coal,4885.652
2020-02-28,Gas,18425.365
2020-02-28,Geothermal,20330.93
2020-02-28,Hydro,64909.413
2020-02-28,Liquid fuel,0.0
2020-02-28,Wind,6117.781
2020-02-28,Wood,696.668
2020-02-29,Coal,3847.992
2020-02-29,Gas,15264.169
2020-02-29,Geothermal,20791.982
2020-02-29,Hydro,57170.102
2020-02-29,Liquid fuel,0.0
2020-02-29,Wind,6748.893
2020-02-29,Wood,761.162
2020-03-01,Coal,3754.753
2020-03-01,Gas,14899.14
2020-03-01,Geothermal,20626.93
