date,active_storage_mm3,contingent_storage_mm3,total_usable_storage_mm3
1981-02-18,7510.035,0.0,0.0
1981-02-19,7491.134,0.0,0.0
1981-02-20,7520.075,0.0,0.0
1981-02-21,7489.959,0.0,0.0
1981-02-22,7441.885,0.0,0.0
1981-02-23,7402.584,0.0,0.0
1981-02-24,7362.81,0.0,0.0
1981-02-25,7319.948,0.0,0.0
1981-02-26,7288.04,0.0,0.0
1981-02-27,7254.877,0.0,0.0
1981-02-28,7222.164,0.0,0.0
1981-03-01,7190.922,0.0,0.0
1981-03-02,7154.123,0.0,0.0
1981-03-03,7110.043,0.0,0.0
1981-03-04,7062.713,0.0,0.0
1981-03-05,7024.732,0.0,0.0
1981-03-06,7055.453,0.0,0.0
1981-03-07,7284.471,0.0,0.0
1981-03-08,7563.811,0.0,0.0
1981-03-09,7779.45,0.0,0.0
1981-03-10,8003.164,0.0,0.0
1981-03-11,8004.574,0.0,0.0
1981-03-12,7982.647,0.0,0.0
1981-03-13,7942.224,0.0,0.0
1981-03-14,7866.129,0.0,0.0
1981-03-15,7783.261,0.0,0.0
1981-03-16,7722.972,0.0,0.0
1981-03-17,7664.735,0.0,0.0
1981-03-18,7608.169,0.0,0.0
1981-03-19,7550.387,0.0,0.0
1981-03-20,7457.63,0.0,0.0
1981-03-21,7379.465,0.0,0.0
1981-03-22,7320.223,0.0,0.0
1981-03-23,7252.79,0.0,0.0
1981-03-24,7265.007,0.0,0.0
1981-03-25,7322.185,0.0,0.0
1981-03-26,7436.471,0.0,0.0
1981-03-27,7523.07,0.0,0.0
1981-03-28,7501.729,0.0,0.0
1981-03-29,7456.842,0.0,0.0
1981-03-30,7406.281,0.0,0.0
1981-03-31,7530.773,0.0,0.0
1981-04-01,7470.556,0.0,0.0
1981-04-02,7412.998,0.0,0.0
1981-04-03,7358.66,0.0,0.0
1981-04-04,7297.466,0.0,0.0
1981-04-05,7239.085,0.0,0.0
1981-04-06,7178.335,0.0,0.0
1981-04-07,7124.138,0.0,0.0
1981-04-08,7065.787,0.0,0.0
1981-04-09,7008.752,0.0,0.0
1981-04-10,6955.376,0.0,0.0
1981-04-11,6930.213,0.0,0.0
1981-04-12,6908.666,0.0,0.0
1981-04-13,6886.385,0.0,0.0
1981-04-14,6839.696,0.0,0.0
1981-04-15,6796.55,0.0,0.0
1981-04-16,6779.721,0.0,0.0
1981-04-17,6786.535,0.0,0.0
1981-04-18,6844.522,0.0,0.0
1981-04-19,6899.363,0.0,0.0
1981-04-20,7002.272,0.0,0.0
1981-04-21,7091.121,0.0,0.0
1981-04-22,7121.686,0.0,0.0
1981-04-23,7151.929,0.0,0.0
1981-04-24,7314.791,0.0,0.0
1981-04-25,7354.625,0.0,0.0
1981-04-26,7537.648,0.0,0.0
1981-04-27,7618.067,0.0,0.0
1981-04-28,7606.758,0.0,0.0
1981-04-29,7596.845,0.0,0.0
1981-04-30,7620.52,0.0,0.0
1981-05-01,7613.062,0.0,0.0
1981-05-02,7590.733,0.0,0.0
1981-05-03,7570.732,0.0,0.0
1981-05-04,7536.111,0.0,0.0
1981-05-05,7486.391,0.0,0.0
1981-05-06,7427.941,0.0,0.0
1981-05-07,7368.043,0.0,0.0
1981-05-08,7362.298,0.0,0.0
1981-05-09,7410.287,0.0,0.0
1981-05-10,7402.359,0.0,0.0
1981-05-11,7449.707,0.0,0.0
1981-05-12,7550.029,0.0,0.0
1981-05-13,7608.641,0.0,0.0
1981-05-14,7594.28,0.0,0.0
1981-05-15,7565.871,0.0,0.0
1981-05-16,7530.687,0.0,0.0
1981-05-17,7509.306,0.0,0.0
1981-05-18,7550.544,0.0,0.0
1981-05-19,7547.959,0.0,0.0
1981-05-20,7514.328,0.0,0.0
1981-05-21,7473.113,0.0,0.0
1981-05-22,7448.192,0.0,0.0
1981-05-23,7417.53,0.0,0.0
1981-05-24,7379.574,0.0,0.0
1981-05-25,7322.854,0.0,0.0
1981-05-26,7253.454,0.0,0.0
1981-05-27,7180.499,0.0,0.0
1981-05-28,7104.126,0.0,0.0
1981-05-29,7027.653,0.0,0.0
1981-05-30,6952.163,0.0,0.0
1981-05-31,6882.948,0.0,0.0
1981-06-01,6828.299,0.0,0.0
1981-06-02,6813.438,0.0,0.0
1981-06-03,7046.647,0.0,0.0
1981-06-04,7194.281,0.0,0.0
1981-06-05,7280.808,0.0,0.0
1981-06-06,7299.309,0.0,0.0
1981-06-07,7310.472,0.0,0.0
1981-06-08,7302.894,0.0,0.0
1981-06-09,7276.895,0.0,0.0
1981-06-10,7238.124,0.0,0.0
1981-06-11,7186.384,0.0,0.0
1981-06-12,7131.448,0.0,0.0
1981-06-13,7075.675,0.0,0.0
1981-06-14,7038.945,0.0,0.0
1981-06-15,7009.2,0.0,0.0
1981-06-16,6971.696,0.0,0.0
1981-06-17,6933.746,0.0,0.0
1981-06-18,6893.02,0.0,0.0
1981-06-19,6855.849,0.0,0.0
1981-06-20,6809.835,0.0,0.0
1981-06-21,6762.019,0.0,0.0
1981-06-22,6710.026,0.0,0.0
1981-06-23,6643.513,0.0,0.0
1981-06-24,6575.907,0.0,0.0
1981-06-25,6504.112,0.0,0.0
1981-06-26,6442.54,0.0,0.0
1981-06-27,6468.332,0.0,0.0
1981-06-28,6493.845,0.0,0.0
1981-06-29,6515.773,0.0,0.0
1981-06-30,6516.056,0.0,0.0
1981-07-01,6503.092,0.0,0.0
1981-07-02,6522.076,0.0,0.0
1981-07-03,6569.2,0.0,0.0
1981-07-04,6587.202,0.0,0.0
1981-07-05,6576.893,0.0,0.0
1981-07-06,6563.086,0.0,0.0
1981-07-07,6540.577,0.0,0.0
1981-07-08,6523.108,0.0,0.0
1981-07-09,6497.872,0.0,0.0
1981-07-10,6462.66,0.0,0.0
1981-07-11,6434.55,0.0,0.0
1981-07-12,6402.288,0.0,0.0
1981-07-13,6355.738,0.0,0.0
1981-07-14,6290.807,0.0,0.0
1981-07-15,6224.841,0.0,0.0
1981-07-16,6158.2,0.0,0.0
1981-07-17,6098.93,0.0,0.0
1981-07-18,6055.537,0.0,0.0
1981-07-19,6013.759,0.0,0.0
1981-07-20,5965.68,0.0,0.0
1981-07-21,5905.457,0.0,0.0
1981-07-22,5845.061,0.0,0.0
1981-07-23,5782.676,0.0,0.0
1981-07-24,5734.668,0.0,0.0
1981-07-25,5715.793,0.0,0.0
1981-07-26,5751.094,0.0,0.0
1981-07-27,5759.603,0.0,0.0
1981-07-28,5757.324,0.0,0.0
1981-07-29,5747.191,0.0,0.0
1981-07-30,5751.594,0.0,0.0
1981-07-31,5771.619,0.0,0.0
1981-08-01,5762.655,0.0,0.0
1981-08-02,5747.32,0.0,0.0
1981-08-03,5717.743,0.0,0.0
1981-08-04,5671.06,0.0,0.0
1981-08-05,5620.742,0.0,0.0
1981-08-06,5567.122,0.0,0.0
1981-08-07,5510.329,0.0,0.0
1981-08-08,5461.527,0.0,0.0
1981-08-09,5445.473,0.0,0.0
1981-08-10,5408.451,0.0,0.0
1981-08-11,5358.438,0.0,0.0
1981-08-12,5316.983,0.0,0.0
1981-08-13,5266.808,0.0,0.0
1981-08-14,5208.369,0.0,0.0
1981-08-15,5156.017,0.0,0.0
1981-08-16,5100.05,0.0,0.0
1981-08-17,5050.023,0.0,0.0
1981-08-18,5002.387,0.0,0.0
1981-08-19,4972.81,0.0,0.0
1981-08-20,4928.534,0.0,0.0
1981-08-21,4872.444,0.0,0.0
1981-08-22,4811.547,0.0,0.0
1981-08-23,4752.681,0.0,0.0
1981-08-24,4707.521,0.0,0.0
1981-08-25,4661.057,0.0,0.0
1981-08-26,4596.732,0.0,0.0
1981-08-27,4532.627,0.0,0.0
1981-08-28,4460.673,0.0,0.0
1981-08-29,4396.651,0.0,0.0
1981-08-30,4335.358,0.0,0.0
1981-08-31,4268.767,0.0,0.0
1981-09-01,4202.254,0.0,0.0
1981-09-02,4137.827,0.0,0.0
1981-09-03,4094.764,0.0,0.0
1981-09-04,4052.724,0.0,0.0
1981-09-05,4027.922,0.0,0.0
1981-09-06,3979.067,0.0,0.0
1981-09-07,3938.859,0.0,0.0
1981-09-08,3950.415,0.0,0.0
1981-09-09,3982.58,0.0,0.0
1981-09-10,4028.258,0.0,0.0
1981-09-11,4020.626,0.0,0.0
1981-09-12,4005.057,0.0,0.0
1981-09-13,4014.091,0.0,0.0
1981-09-14,4029.884,0.0,0.0
1981-09-15,4016.267,0.0,0.0
1981-09-16,4002.609,0.0,0.0
1981-09-17,3985.228,0.0,0.0
1981-09-18,3961.941,0.0,0.0
1981-09-19,3969.071,0.0,0.0
1981-09-20,3970.248,0.0,0.0
1981-09-21,3939.62,0.0,0.0
1981-09-22,3901.522,0.0,0.0
1981-09-23,3859.728,0.0,0.0
1981-09-24,3819.879,0.0,0.0
1981-09-25,3813.571,0.0,0.0
1981-09-26,3851.073,0.0,0.0
1981-09-27,3876.661,0.0,0.0
1981-09-28,3855.223,0.0,0.0
1981-09-29,3838.322,0.0,0.0
1981-09-30,3633.668,0.0,0.0
1981-10-01,3603.384,0.0,0.0
1981-10-02,3626.294,0.0,0.0
1981-10-03,3828.217,0.0,0.0
1981-10-04,4241.32,0.0,0.0
1981-10-05,4588.017,0.0,0.0
1981-10-06,4678.322,0.0,0.0
1981-10-07,4711.029,0.0,0.0
1981-10-08,4780.626,0.0,0.0
1981-10-09,4840.123,0.0,0.0
1981-10-10,4845.802,0.0,0.0
1981-10-11,4871.495,0.0,0.0
1981-10-12,4870.366,0.0,0.0
1981-10-13,4847.32,0.0,0.0
1981-10-14,4823.111,0.0,0.0
1981-10-15,4790.521,0.0,0.0
1981-10-16,4777.358,0.0,0.0
1981-10-17,4779.664,0.0,0.0
1981-10-18,4782.727,0.0,0.0
1981-10-19,4764.814,0.0,0.0
1981-10-20,4736.364,0.0,0.0
1981-10-21,4699.631,0.0,0.0
1981-10-22,4708.902,0.0,0.0
1981-10-23,4938.264,0.0,0.0
1981-10-24,5148.877,0.0,0.0
1981-10-25,5239.118,0.0,0.0
1981-10-26,5278.262,0.0,0.0
1981-10-27,5260.211,0.0,0.0
1981-10-28,5230.6,0.0,0.0
1981-10-29,5200.151,0.0,0.0
1981-10-30,5175.783,0.0,0.0
1981-10-31,5167.609,0.0,0.0
1981-11-01,5148.53,0.0,0.0
1981-11-02,5108.343,0.0,0.0
1981-11-03,5061.439,0.0,0.0
1981-11-04,5025.554,0.0,0.0
1981-11-05,4994.206,0.0,0.0
1981-11-06,5006.162,0.0,0.0
1981-11-07,5037.042,0.0,0.0
1981-11-08,5033.691,0.0,0.0
1981-11-09,5020.668,0.0,0.0
1981-11-10,4998.706,0.0,0.0
1981-11-11,4973.878,0.0,0.0
1981-11-12,4942.873,0.0,0.0
1981-11-13,4920.694,0.0,0.0
1981-11-14,4924.468,0.0,0.0
1981-11-15,4925.368,0.0,0.0
1981-11-16,4964.196,0.0,0.0
1981-11-17,5028.683,0.0,0.0
1981-11-18,5064.578,0.0,0.0
1981-11-19,5055.545,0.0,0.0
1981-11-20,5036.721,0.0,0.0
1981-11-21,5029.203,0.0,0.0
1981-11-22,5010.358,0.0,0.0
1981-11-23,4968.454,0.0,0.0
1981-11-24,4916.327,0.0,0.0
