Date,Time,Spill (Mm³),QualityCode
2009-11-18,23:59:59,1.151,200
2009-11-23,23:59:59,1.130,200
2009-12-10,23:59:59,1.146,200
2011-01-09,23:59:59,1.177,200
2011-10-06,23:59:59,3.156,200
2012-03-04,23:59:59,1.358,200
2012-05-20,23:59:59,5.071,200
2012-07-17,23:59:59,2.675,200
2012-11-22,23:59:59,0.327,200
2015-03-09,23:59:59,2.907,200
2015-09-09,23:59:59,2.442,200
2015-10-01,23:59:59,4.612,200
2015-11-25,23:59:59,1.002,200
2015-12-31,23:59:59,2.641,200
2016-08-01,23:59:59,8.917,200
2016-11-26,23:59:59,0.990,200
2017-08-15,23:59:59,4.544,200
2018-05-16,23:59:59,10.435,200
2018-05-24,23:59:59,1.206,200
2018-07-20,23:59:59,1.028,200
2019-03-10,23:59:59,5.153,200
2020-12-21,23:59:59,4.157,200
2021-04-13,23:59:59,7.158,200
2021-06-24,23:59:59,4.751,200
2023-11-06,23:59:59,2.721,200
2024-03-02,23:59:59,1.117,200
2024-04-09,23:59:59,2.950,200
2024-07-05,23:59:59,8.866,200
2024-09-26,23:59:59,1.104,200
2024-12-28,23:59:59,7.497,200
1980-01-17,23:59:59,1.436,200
1980-08-23,23:59:59,8.665,200
1981-05-20,23:59:59,6.354,200
1981-06-24,23:59:59,6.718,200
1981-11-21,23:59:59,0.620,200
1982-01-29,23:59:59,2.528,200
1982-08-02,23:59:59,18.090,200
1982-08-19,23:59:59,18.273,200
1983-01-26,23:59:59,0.636,200
1983-04-16,23:59:59,8.998,200
1983-09-17,23:59:59,0.840,200
1983-11-04,23:59:59,6.258,200
1984-02-18,23:59:59,8.692,200
1984-05-03,23:59:59,4.617,200
1984-11-05,23:59:59,0.689,200
1985-02-18,23:59:59,2.866,200
1985-05-08,23:59:59,0.815,200
1985-11-21,23:59:59,0.747,200
1986-04-08,23:59:59,7.618,200
1986-04-12,23:59:59,6.597,200
1986-05-15,23:59:59,4.437,200
1986-10-10,23:59:59,0.622,200
1987-05-16,23:59:59,2.857,200
1987-05-28,23:59:59,14.348,200
1987-09-27,23:59:59,0.599,200
1989-07-20,23:59:59,12.282,200
1989-10-15,23:59:59,1.369,200
1990-06-19,23:59:59,4.019,200
1990-08-17,23:59:59,16.283,200
1992-04-28,23:59:59,4.617,200
1992-09-30,23:59:59,9.248,200
1993-04-08,23:59:59,3.088,200
1993-05-28,23:59:59,0.815,200
1993-08-22,23:59:59,17.261,200
1994-01-30,23:59:59,10.265,200
1994-04-10,23:59:59,11.001,200
1994-05-14,23:59:59,9.194,200
