date,represented_storage_mm3,represented_site_count,month_day,storage_p05_mm3,storage_p25_mm3,storage_median_mm3,storage_p75_mm3,storage_p95_mm3,historical_years,price_mean_nzd_mwh,price_p95_nzd_mwh,price_max_nzd_mwh,thermal_generation_gwh,thermal_peak_mw
2024-04-30,5448.725,10,04-30,3196.88295,4321.962750000001,5211.409,6039.3465,7557.54835,44,238.006875,272.0548888888889,276.4822222222222,19.86504,963.082
2024-05-01,5469.978,10,05-01,3241.73435,4296.798,5163.7744999999995,6020.561750000001,7549.8955000000005,44,226.1687037037037,264.2767222222222,475.9266666666667,20.918072,1038.288
2024-05-02,5454.71,10,05-02,3236.9175499999997,4267.11075,5140.482,5996.0505,7529.8862500000005,44,235.13108796296297,264.6692777777778,303.5588888888889,21.142459,1041.618
2024-05-03,5404.975,10,05-03,3218.5183500000003,4221.076,5211.209,5962.96775,7506.9025,44,240.91208333333336,279.2220555555556,388.55111111111114,21.701073,1090.458
2024-05-04,5335.969,10,05-04,3195.5885000000003,4245.273499999999,5229.989,5917.16375,7473.7308,44,229.81814814814814,256.6386111111111,261.0422222222222,19.83037,992.656
2024-05-05,5267.29,10,05-05,3230.2224499999998,4248.358249999999,5174.201999999999,5980.4675,7434.743750000001,44,230.8805324074074,255.57616666666667,265.53666666666663,18.065212,878.562
2024-05-06,5196.373,10,05-06,3219.6671,4284.7787499999995,5131.23,6018.4215,7399.639799999999,44,235.3699537037037,269.2882222222222,399.7711111111111,20.967186,1053.054
2024-05-07,5128.359,10,05-07,3197.2790999999997,4260.03525,5094.6939999999995,5983.75225,7363.5238,44,248.33627314814814,276.263,438.38111111111107,22.234658,1061.09
2024-05-08,5046.704,10,05-08,3168.6342999999997,4235.3155,5165.7565,6010.012000000001,7355.00485,44,650.098912037037,3245.130166666666,4567.832222222222,24.931912,1233.382
2024-05-09,4965.967,10,05-09,3218.2542,4222.6345,5185.156999999999,6106.489750000001,7297.5908500000005,44,478.06692129629624,1760.455833333332,3296.8777777777777,22.496306,1112.476
2024-05-10,4873.216,10,05-10,3271.18775,4209.42725,5230.317,6184.0355,7238.495,44,349.75474537037036,526.1633333333333,3016.8733333333334,24.871541,1287.904
2024-05-11,4785.999,10,05-11,3324.18615,4194.70175,5190.8465,6136.02725,7182.0237,44,262.2925462962963,294.53,414.8566666666667,21.527894,1155.8
2024-05-12,4697.313,10,05-12,3316.20075,4227.61075,5190.458500000001,6078.12725,7123.851000000001,44,270.48541666666665,325.4487222222222,553.8088888888889,22.511702,1222.946
2024-05-13,4614.662,10,05-13,3324.2623,4216.30975,5161.575,6022.17425,7071.20335,44,310.89613425925927,518.8322222222222,647.3622222222223,27.628316,1402.678
2024-05-14,4539.0779999999995,10,05-14,3306.0230500000002,4225.82675,5141.762500000001,6126.0775,7064.8357000000005,44,391.82990740740746,725.3492222222221,2022.9744444444445,28.307418,1459.62
2024-05-15,4476.031,10,05-15,3272.43435,4220.1355,5171.068499999999,6241.47575,7106.918100000001,44,271.1657175925926,295.72738888888887,337.01222222222225,27.143834,1336.356
2024-05-16,4412.206,10,05-16,3233.3179999999998,4177.30525,5218.2119999999995,6452.362,7085.36525,44,264.0649305555556,288.4476111111111,299.1033333333333,26.307481,1301.924
2024-05-17,4348.226,10,05-17,3198.77215,4131.6052500000005,5317.126,6467.00675,7264.365400000001,44,271.7413425925926,335.6362222222222,364.31111111111113,26.835573,1426.5
2024-05-18,4313.452,10,05-18,3172.9546,4091.94825,5299.731,6422.9130000000005,7476.0409500000005,44,252.9394675925926,314.5647222222222,344.9211111111111,23.358633,1266.63
2024-05-19,4298.647,10,05-19,3151.3240499999997,4060.4155,5255.7885,6371.930249999999,7475.090050000001,44,275.923587962963,290.1925,293.94888888888886,26.839202,1261.22
2024-05-20,4242.242,10,05-20,3189.1514,4113.88275,5277.858,6381.30875,7441.76295,44,391.4640509259259,589.4322222222222,706.5822222222222,28.042212,1361.278
2024-05-21,4209.025,10,05-21,3409.723,4145.8265,5367.7294999999995,6439.87625,7414.23725,44,250.2033796296296,297.12066666666664,301.24333333333334,23.350983,1202.99
2024-05-22,4189.3589999999995,10,05-22,3389.8227,4148.113,5402.153,6418.63375,7332.8864,44,241.15826388888888,300.60805555555555,301.4944444444444,21.474722,1143.832
2024-05-23,4144.628,10,05-23,3359.4859500000002,4155.36625,5399.0470000000005,6381.02425,7302.2759,44,292.58886574074074,328.17277777777775,362.00888888888886,26.813375,1249.208
2024-05-24,4078.66,10,05-24,3352.3557,4144.35775,5442.282,6327.396999999999,7365.587399999999,44,304.2515972222222,363.1798333333333,408.09333333333336,27.006821,1280.788
2024-05-25,4011.471,10,05-25,3407.5722,4170.650250000001,5463.137000000001,6279.5765,7317.84445,44,271.9509953703704,293.30749999999995,294.4566666666667,24.478955,1172.424
2024-05-26,3964.171,10,05-26,3437.6136,4206.207,5533.64,6241.8325,7256.432400000001,44,223.34560185185185,289.62955555555556,289.97222222222223,22.064797,1167.652
2024-05-27,3904.96,10,05-27,3449.9595999999997,4271.5197499999995,5491.661,6179.741999999999,7224.8027,44,306.9670601851852,498.3904444444442,640.3477777777778,25.071592,1287.88
2024-05-28,3834.8709999999996,10,05-28,3436.69185,4254.3755,5482.307000000001,6137.706,7184.6924,44,314.5465046296296,432.52177777777774,616.651111111111,26.510513,1370.674
2024-05-29,3782.417,10,05-29,3390.5027999999998,4219.40275,5488.469999999999,6199.18375,7136.37395,44,337.46965277777775,559.0127777777776,754.2522222222221,28.00569,1372.072
2024-05-30,3724.91,10,05-30,3351.6597500000003,4182.9995,5532.785,6308.1505,7100.91945,44,289.08928240740744,327.2037222222222,363.6277777777778,26.955533,1307.178
2024-05-31,3685.384,10,05-31,3304.5597000000002,4157.563249999999,5532.1175,6344.067000000001,7175.653200000001,44,231.63319444444446,265.2733888888889,272.8611111111111,22.905514,1082.406
2024-06-01,3752.428,10,06-01,3255.33695,4113.9307499999995,5504.9125,6335.18925,7234.73225,44,149.7025925925926,253.638,282.29,18.428731,888.694
2024-06-02,3845.256,10,06-02,3208.7215499999998,4150.5557499999995,5484.8335,6305.49575,7202.1621,44,197.91974537037038,265.5326111111111,269.81,19.894269,986.612
2024-06-03,3835.032,10,06-03,3170.0670999999998,4226.44675,5448.821,6275.16675,7166.75455,44,200.28578703703704,320.84616666666665,331.12,21.092295,1229.766
2024-06-04,3795.302,10,06-04,3129.1457,4226.49925,5404.8505000000005,6273.278,7187.3789,44,285.673587962963,326.57655555555556,326.6333333333333,25.2518,1282.796
2024-06-05,3742.514,10,06-05,3086.0773,4221.5,5488.6720000000005,6258.62275,7266.6222,44,300.4671064814815,328.23344444444444,329.4266666666667,27.090726,1281.696
2024-06-06,3689.3520000000003,10,06-06,3048.8999,4212.30125,5453.249,6228.9545,7276.7196,44,287.55069444444445,324.82616666666667,329.31,27.296007,1313.978
2024-06-07,3639.1189999999997,10,06-07,3020.4709,4203.68225,5395.098,6198.32975,7279.6866,44,283.78442129629633,304.38533333333334,316.9866666666667,25.939488,1206.64
2024-06-08,3586.455,10,06-08,2985.8684000000003,4158.36825,5332.5255,6159.2480000000005,7263.90555,44,262.1390740740741,299.87444444444446,301.6411111111111,25.111744,1233.796
2024-06-09,3541.4080000000004,10,06-09,3057.61285,4147.204250000001,5308.4035,6130.97625,7231.02305,44,275.0196990740741,309.74033333333335,316.07666666666665,21.861308,1061.662
2024-06-10,3560.237,10,06-10,3104.0483,4236.1894999999995,5393.3955,6159.62525,7160.9732,44,211.45000000000002,283.9893333333333,292.31888888888886,19.692769,1082.118
2024-06-11,3558.4990000000003,10,06-11,3072.3057000000003,4249.8165,5430.8369999999995,6165.536,7062.321550000001,44,254.48525462962962,308.12916666666666,316.99888888888887,24.798144,1350.57
2024-06-12,3504.755,10,06-12,3054.3321499999997,4236.884,5416.6855,6119.94875,7000.5674,44,302.1440277777778,342.82272222222224,405.37333333333333,27.682481,1357.47
2024-06-13,3458.0060000000003,10,06-13,3085.861,4246.754999999999,5394.335,6109.809749999999,7050.8059,44,288.1378009259259,319.05816666666664,327.9533333333333,27.070011,1303.784
2024-06-14,3458.252,10,06-14,3099.0531499999997,4222.0154999999995,5364.825999999999,6055.974,7036.4481,44,280.004212962963,323.8257777777778,327.9477777777778,26.89917,1326.808
2024-06-15,3468.877,10,06-15,3102.3616500000003,4233.6515,5378.91,6001.59125,7093.4809,44,231.32092592592593,277.71972222222223,293.7322222222222,22.101131,1139.086
2024-06-16,3474.223,10,06-16,3098.48805,4257.824999999999,5373.6155,6027.85625,7043.9545,44,252.5812962962963,275.1656111111111,286.27666666666664,21.819006,1177.104
2024-06-17,3483.004,10,06-17,3087.2210999999998,4259.47375,5331.915499999999,6006.91075,6982.67625,44,279.1145601851852,319.6649444444444,325.0733333333333,25.774932,1350.776
2024-06-18,3458.576,10,06-18,3067.0530999999996,4232.6865,5302.095499999999,6014.6505,6918.1647,44,237.1786111111111,259.2041111111111,262.3933333333333,23.093959,1191.244
2024-06-19,3433.906,10,06-19,3071.6860500000003,4242.9235,5318.0085,6032.7985,6854.524350000001,44,261.4279398148148,309.6813888888889,325.76,24.694731,1356.77
2024-06-20,3392.101,10,06-20,3053.59285,4258.173,5326.414,5988.762,6804.5619,44,272.0433796296296,325.06888888888886,348.8488888888889,26.822364,1341.596
2024-06-21,3344.321,10,06-21,3021.7334,4250.97075,5339.18,5939.09575,6768.7289,44,279.3998611111111,326.8118333333333,364.2366666666667,28.202361,1398.734
2024-06-22,3293.228,10,06-22,2992.3927,4222.92275,5343.2405,5882.59675,6814.05235,44,279.2987037037037,316.1297222222222,328.6277777777778,28.66303,1346.838
2024-06-23,3244.763,10,06-23,2981.8062499999996,4178.0165,5341.648999999999,5866.748750000001,6796.42555,44,274.6275694444444,348.5476111111111,353.54555555555555,27.844541,1356.036
2024-06-24,3196.931,10,06-24,2972.9816,4146.935750000001,5290.120999999999,5848.139499999999,6812.4466,44,293.5428009259259,381.29872222222224,385.0488888888889,29.142691,1421.846
2024-06-25,3138.2650000000003,10,06-25,2958.90555,4147.3585,5224.37,5802.28775,6804.3754,44,289.8163425925926,363.17661111111113,374.9766666666667,27.668319,1311.692
2024-06-26,3109.406,10,06-26,2928.6936499999997,4290.9995,5201.648499999999,5763.27625,6803.2709,44,264.6253472222222,298.68833333333333,320.0077777777778,26.299202,1307.18
2024-06-27,3088.201,10,06-27,2907.6551999999997,4279.2545,5125.128000000001,5794.11025,6758.6396,44,281.1507638888889,372.45816666666667,390.9088888888889,28.622985,1405.988
2024-06-28,3071.093,10,06-28,2876.4541,4223.69875,5106.932,5778.069,6837.55535,44,284.63567129629627,332.39127777777776,349.6066666666667,28.334127,1276.04
2024-06-29,3060.625,10,06-29,2834.2019999999998,4174.61225,5084.3345,5738.62025,6878.15805,44,244.00819444444446,275.9958333333333,281.7655555555555,25.813547,1269.334
2024-06-30,3029.94,10,06-30,2807.8070000000002,4119.56275,5040.2095,5685.34475,6894.6935,44,255.65525462962964,281.67216666666667,284.1144444444445,26.769413,1350.62
2024-07-01,3163.055,10,07-01,2830.4635000000003,4082.86125,5030.9455,5646.6365000000005,6864.694600000001,44,231.23798611111113,285.46344444444446,296.8155555555556,24.883989,1302.822
2024-07-02,3293.149,10,07-02,2863.65835,4174.15625,4966.9555,5620.04475,6803.12625,44,218.8703240740741,299.70011111111114,331.50333333333333,23.822935,1349.918
2024-07-03,3298.328,10,07-03,2872.5891,4235.7555,4941.0525,5577.01125,6725.492900000001,44,293.57108796296296,356.8786666666667,382.96333333333337,27.267903,1285.752
2024-07-04,3268.4759999999997,10,07-04,2822.4802999999997,4180.476,4936.1975,5540.00425,6647.0216,44,366.29543981481487,475.5881111111111,483.44777777777773,29.080092,1461.652
2024-07-05,3225.643,10,07-05,2766.453,4147.289,4981.8445,5529.593500000001,6575.2688,44,378.5327314814815,602.370333333333,2084.023333333333,28.908628,1353.522
2024-07-06,3188.988,10,07-06,2711.386,4138.28825,4980.943499999999,5496.679749999999,6549.95215,44,338.3272685185185,481.37805555555553,509.9177777777778,27.01815,1284.512
2024-07-07,3153.142,10,07-07,2672.37235,4135.887250000001,5007.151,5569.62525,6517.3357000000005,44,307.9872222222222,459.3479444444444,508.0377777777778,25.985106,1211.928
