date,site_code,reservoir,storage_mm3,storage_change_mm3_day,headwater_inflow_mm3_day,implied_total_outflow_mm3_day,hmd_spill_release_mm3_day,residual_controlled_release_mm3_day
1980-01-21,TKA,Lake Tekapo,621.479,-0.706,14.604883,15.310883,16.243,-0.932117
1980-01-21,TPO,Lake Taupo,751.972,14.887,23.771146,8.884146,11.283,-2.398854
1980-01-21,WKA,Lake Waikaremoana,149.462,0.211,0.894326,0.683326,0.0,0.683326
1980-01-22,HWE,Lake Hawea,2280.503,6.192,8.092224,1.900224,3.771,-1.870776
1980-01-22,MAN,Lake Manapouri,366.297,7.385,8.328787,0.943787,23.535,-22.591213
1980-01-22,OHA,Lake Ohau,3.45,-2.447,11.4048,13.8518,0.0,13.8518
1980-01-22,PKI,Lake Pukaki,2432.973,-7.142,15.492125,22.634125,22.789,-0.154875
1980-01-22,TAU,Lake Te Anau,733.272,-9.91,25.921123,35.831123,44.936,-9.104877
1980-01-22,TKA,Lake Tekapo,617.76,-3.719,11.799821,15.518821,16.142,-0.623179
1980-01-22,TPO,Lake Taupo,769.79,17.818,45.332784,27.514784,15.872,11.642784
1980-01-22,WKA,Lake Waikaremoana,150.665,1.203,2.546726,1.343726,0.0,1.343726
1980-01-23,HWE,Lake Hawea,2283.313,2.81,7.255699,4.445699,5.96,-1.514301
1980-01-23,MAN,Lake Manapouri,365.228,-1.069,5.028739,6.097739,23.105,-17.007261
1980-01-23,OHA,Lake Ohau,2.982,-0.468,10.368,10.836,0.0,10.836
1980-01-23,PKI,Lake Pukaki,2429.011,-3.962,14.879808,18.841808,21.063,-2.221192
1980-01-23,TAU,Lake Te Anau,712.121,-21.151,22.071917,43.222917,43.799,-0.576083
1980-01-23,TKA,Lake Tekapo,612.272,-5.488,11.444544,16.932544,16.215,0.717544
1980-01-23,TPO,Lake Taupo,803.791,34.001,41.761354,7.760354,21.167,-13.406646
1980-01-23,WKA,Lake Waikaremoana,153.496,2.831,3.27672,0.44572,0.0,0.44572
1980-01-24,HWE,Lake Hawea,2283.359,0.046,7.270474,7.224474,6.095,1.129474
1980-01-24,MAN,Lake Manapouri,368.977,3.749,10.916381,7.167381,23.198,-16.030619
1980-01-24,OHA,Lake Ohau,1.903,-1.079,12.1824,13.2614,0.0,13.2614
1980-01-24,PKI,Lake Pukaki,2425.286,-3.725,15.652742,19.377742,21.044,-1.666258
1980-01-24,TAU,Lake Te Anau,697.86,-14.261,38.290493,52.551493,43.182,9.369493
1980-01-24,TKA,Lake Tekapo,606.561,-5.711,11.387434,17.098434,16.164,0.934434
1980-01-24,TPO,Lake Taupo,806.551,2.76,29.940451,27.180451,24.042,3.138451
1980-01-24,WKA,Lake Waikaremoana,153.969,0.473,2.081376,1.608376,0.0,1.608376
1980-01-25,HWE,Lake Hawea,2281.76,-1.599,6.580742,8.179742,5.56,2.619742
1980-01-25,MAN,Lake Manapouri,380.303,11.326,13.84249,2.51649,24.565,-22.04851
1980-01-25,OHA,Lake Ohau,3.327,1.424,10.7136,9.2896,0.0,9.2896
