year,island,inflow_volume_mm3,storage_min_mm3,storage_min_date,storage_max_mm3,storage_max_date,inflow_days_present,storage_days_present,calendar_year_complete_inflows,calendar_year_complete_storage
1980,NI,5928.156547,575.176,1980-12-19,960.52,1980-01-24,366,366,True,True
1980,SI,36068.25335,4659.08,1980-08-11,8007.688,1980-01-28,366,366,True,True
1980,NZ,41996.409898,5430.029,1980-08-11,8941.078,1980-01-28,366,366,True,True
1981,NI,5671.176509,303.828,1981-05-20,816.726,1981-01-05,365,365,True,True
1981,SI,31658.481158,3077.676,1981-10-01,7456.371,1981-03-11,365,365,True,True
1981,NZ,37329.657667,3603.384,1981-10-01,8004.574,1981-03-11,365,365,True,True
1982,NI,4330.91759,60.378,1982-09-09,728.715,1982-01-04,365,365,True,True
1982,SI,36333.045763,2282.195,1982-10-23,8237.574,1982-03-13,365,365,True,True
1982,NZ,40663.963354,2433.616,1982-10-23,8720.188,1982-03-13,365,365,True,True
1983,NI,4780.821744,44.343,1983-04-01,1003.352,1983-11-10,365,365,True,True
1983,SI,40144.573901,5188.287,1983-09-20,8241.625,1983-01-16,365,365,True,True
1983,NZ,44925.395645,5614.612,1983-09-07,8663.543,1983-11-20,365,365,True,True
1984,NI,4753.5768,422.453,1984-06-29,870.617,1984-03-19,366,366,True,True
1984,SI,38532.383856,3571.674,1984-10-09,8572.211,1984-12-24,366,366,True,True
1984,NZ,43285.960656,4283.101,1984-10-09,9421.748,1984-12-24,366,366,True,True
1985,NI,4641.847085,402.671,1985-05-22,975.152,1985-09-10,365,365,True,True
1985,SI,30078.933466,2122.694,1985-11-16,8520.606,1985-01-13,365,365,True,True
1985,NZ,34720.78055,2897.419,1985-11-16,9330.689,1985-01-13,365,365,True,True
1986,NI,5418.081706,522.117,1986-12-31,950.37,1986-07-28,365,365,True,True
1986,SI,31489.008422,2798.234,1986-09-26,6451.273,1986-05-01,365,365,True,True
1986,NZ,36907.090128,3601.603,1986-12-12,7149.249,1986-06-14,365,365,True,True
1987,NI,4830.241162,341.034,1987-08-04,729.301,1987-12-28,365,365,True,True
1987,SI,37603.423584,3492.656,1987-09-30,7026.909,1987-04-02,365,365,True,True
1987,NZ,42433.664746,3890.311,1987-09-30,7699.261,1987-04-02,365,365,True,True
1988,NI,6087.577594,288.664,1988-05-08,956.183,1988-10-09,366,366,True,True
1988,SI,39471.36575,3227.273,1988-06-06,7016.023,1988-11-04,366,366,True,True
1988,NZ,45558.943344,3585.694,1988-06-06,7817.062,1988-11-04,366,366,True,True
1989,NI,5988.365597,178.082,1989-04-29,816.498,1989-01-04,365,365,True,True
1989,SI,30224.722406,1171.324,1989-10-27,6346.108,1989-03-31,365,365,True,True
1989,NZ,36213.088003,1602.346,1989-10-02,6774.54,1989-03-31,365,365,True,True
1990,NI,5623.104413,262.269,1990-04-24,817.137,1990-08-27,365,365,True,True
1990,SI,33163.350307,1931.686,1990-10-05,6320.482,1990-05-24,365,365,True,True
1990,NZ,38786.45472,2490.364,1990-10-05,6732.46,1990-05-27,365,365,True,True
1991,NI,5233.721386,132.947,1991-07-17,639.943,1991-10-02,365,365,True,True
1991,SI,31692.911472,1679.244,1991-08-05,6479.538,1991-02-19,365,365,True,True
1991,NZ,36926.632858,1982.905,1991-07-30,6863.3,1991-02-19,365,365,True,True
1992,NI,5574.211258,140.422,1992-06-06,802.613,1992-08-22,366,366,True,True
1992,SI,26146.431331,1376.259,1992-10-06,4010.92,1992-11-18,366,366,True,True
1992,NZ,31720.642589,1626.648,1992-07-02,4577.585,1992-11-18,366,366,True,True
1993,NI,4182.724397,437.611,1993-05-05,753.051,1993-12-10,365,365,True,True
1993,SI,30383.741174,1352.023,1993-10-02,6215.157,1993-06-25,365,365,True,True
1993,NZ,34566.465571,1893.398,1993-10-02,6840.975,1993-06-25,365,365,True,True
1994,NI,5566.780858,306.194,1994-04-12,962.924,1994-11-17,365,365,True,True
1994,SI,38443.024829,2318.343,1994-10-27,6925.056,1994-01-25,365,365,True,True
1994,NZ,44009.805686,3098.52,1994-10-28,7562.806,1994-01-25,365,365,True,True
1995,NI,6640.777613,612.54,1995-06-28,930.091,1995-04-14,365,365,True,True
1995,SI,42659.747366,2844.042,1995-08-16,7830.755,1995-12-15,365,365,True,True
1995,NZ,49300.524979,3664.284,1995-08-16,8589.045,1995-12-29,365,365,True,True
1996,NI,6880.931424,438.847,1996-03-30,1002.758,1996-09-15,366,366,True,True
1996,SI,32625.943949,2401.78,1996-09-04,7502.719,1996-01-01,366,366,True,True
1996,NZ,39506.875373,3228.053,1996-09-04,8302.111,1996-01-01,366,366,True,True
1997,NI,4731.749309,419.856,1997-09-10,773.349,1997-07-06,365,365,True,True
1997,SI,31582.293293,1921.991,1997-10-02,5281.934,1997-12-29,365,365,True,True
1997,NZ,36314.042602,2493.998,1997-10-02,5869.723,1997-12-29,365,365,True,True
1998,NI,6108.62161,287.153,1998-05-07,1118.197,1998-07-18,365,365,True,True
1998,SI,41080.943491,4100.427,1998-09-14,7045.257,1998-04-04,365,365,True,True
1998,NZ,47189.565101,4873.535,1998-06-21,7368.721,1998-04-04,365,365,True,True
1999,NI,5173.306013,201.099,1999-05-14,711.518,1999-01-01,365,365,True,True
1999,SI,31344.478762,1745.427,1999-10-10,7051.436,1999-11-19,365,365,True,True
1999,NZ,36517.784774,2184.935,1999-10-19,7566.378,1999-11-19,365,365,True,True
2000,NI,5153.242291,277.025,2000-07-20,792.136,2000-10-23,366,366,True,True
2000,SI,34528.109846,3922.735,2000-09-06,6680.253,2000-06-27,366,366,True,True
2000,NZ,39681.352138,4288.811,2000-09-06,7220.388,2000-12-31,366,366,True,True
2001,NI,5169.170045,124.237,2001-07-14,947.729,2001-12-19,365,365,True,True
2001,SI,26805.550838,1854.087,2001-09-15,6559.532,2001-01-01,365,365,True,True
2001,NZ,31974.720883,2131.97,2001-09-15,7215.087,2001-01-01,365,365,True,True
2002,NI,5041.718294,485.574,2002-12-01,926.031,2002-01-20,365,365,True,True
2002,SI,33012.387475,3208.294,2002-08-11,5815.22,2002-01-06,365,365,True,True
2002,NZ,38054.10577,3934.805,2002-08-11,6721.221,2002-01-06,365,365,True,True
2003,NI,4906.619971,135.645,2003-05-19,962.601,2003-12-31,365,365,True,True
2003,SI,30223.502006,2706.167,2003-09-13,4851.324,2003-01-01,365,365,True,True
2003,NZ,35130.121978,2945.974,2003-05-01,5592.99,2003-01-01,365,365,True,True
2004,NI,6595.523626,567.661,2004-09-11,1027.331,2004-03-03,366,366,True,True
2004,SI,32944.453315,2560.64,2004-10-28,6378.242,2004-03-12,366,366,True,True
2004,NZ,39539.976941,3300.877,2004-10-12,7293.147,2004-03-12,366,366,True,True
2005,NI,4909.968662,390.848,2005-07-08,934.505,2005-01-03,365,365,True,True
2005,SI,27124.411766,2079.312,2005-12-07,5920.402,2005-03-12,365,365,True,True
2005,NZ,32034.380429,2747.381,2005-12-08,6483.556,2005-03-12,365,365,True,True
2006,NI,5855.91863,594.066,2006-11-07,960.858,2006-02-12,365,365,True,True
2006,SI,31421.669904,1940.895,2006-08-17,5620.518,2006-12-02,365,365,True,True
2006,NZ,37277.588534,2805.349,2006-08-17,6418.091,2006-12-02,365,365,True,True
2007,NI,4883.301562,359.463,2007-06-29,855.57,2007-01-30,365,365,True,True
2007,SI,28212.877584,2163.497,2007-09-30,5315.648,2007-01-01,365,365,True,True
2007,NZ,33096.179146,2708.402,2007-09-30,6093.63,2007-01-01,365,365,True,True
2008,NI,5648.992963,119.295,2008-04-14,961.268,2008-08-18,366,366,True,True
2008,SI,28880.734205,1371.077,2008-08-21,5343.85,2008-12-23,366,366,True,True
2008,NZ,34529.727168,2272.483,2008-06-12,6108.127,2008-12-31,366,366,True,True
2009,NI,5060.945232,235.831,2009-06-26,859.354,2009-10-19,365,365,True,True
2009,SI,32846.268182,3343.755,2009-11-20,7298.148,2009-05-19,365,365,True,True
