TimePeriod,Scenario,Status,Unit,Value,Variable
2020,Constraint,Historical,Percentage,0.004,Share of vehicle kilometres travelled that use electricity
2020,Environmental,Historical,Percentage,0.004,Share of vehicle kilometres travelled that use electricity
2020,Growth,Historical,Percentage,0.004,Share of vehicle kilometres travelled that use electricity
2020,Innovation,Historical,Percentage,0.004,Share of vehicle kilometres travelled that use electricity
2020,Reference,Historical,Percentage,0.004,Share of vehicle kilometres travelled that use electricity
2021,Constraint,Historical,Percentage,0.006,Share of vehicle kilometres travelled that use electricity
2021,Environmental,Historical,Percentage,0.006,Share of vehicle kilometres travelled that use electricity
2021,Growth,Historical,Percentage,0.006,Share of vehicle kilometres travelled that use electricity
2021,Innovation,Historical,Percentage,0.006,Share of vehicle kilometres travelled that use electricity
2021,Reference,Historical,Percentage,0.006,Share of vehicle kilometres travelled that use electricity
2022,Constraint,Historical,Percentage,0.01,Share of vehicle kilometres travelled that use electricity
2022,Environmental,Historical,Percentage,0.01,Share of vehicle kilometres travelled that use electricity
2022,Growth,Historical,Percentage,0.011,Share of vehicle kilometres travelled that use electricity
2022,Innovation,Historical,Percentage,0.011,Share of vehicle kilometres travelled that use electricity
2022,Reference,Historical,Percentage,0.011,Share of vehicle kilometres travelled that use electricity
2023,Constraint,Historical,Percentage,0.015,Share of vehicle kilometres travelled that use electricity
2023,Environmental,Historical,Percentage,0.015,Share of vehicle kilometres travelled that use electricity
2023,Growth,Historical,Percentage,0.015,Share of vehicle kilometres travelled that use electricity
2023,Innovation,Historical,Percentage,0.015,Share of vehicle kilometres travelled that use electricity
2023,Reference,Historical,Percentage,0.015,Share of vehicle kilometres travelled that use electricity
2024,Constraint,Projected,Percentage,0.019,Share of vehicle kilometres travelled that use electricity
2024,Environmental,Projected,Percentage,0.022,Share of vehicle kilometres travelled that use electricity
2024,Growth,Projected,Percentage,0.022,Share of vehicle kilometres travelled that use electricity
2024,Innovation,Projected,Percentage,0.022,Share of vehicle kilometres travelled that use electricity
2024,Reference,Projected,Percentage,0.02,Share of vehicle kilometres travelled that use electricity
2025,Constraint,Projected,Percentage,0.024,Share of vehicle kilometres travelled that use electricity
2025,Environmental,Projected,Percentage,0.03,Share of vehicle kilometres travelled that use electricity
2025,Growth,Projected,Percentage,0.03,Share of vehicle kilometres travelled that use electricity
2025,Innovation,Projected,Percentage,0.03,Share of vehicle kilometres travelled that use electricity
2025,Reference,Projected,Percentage,0.026,Share of vehicle kilometres travelled that use electricity
2026,Constraint,Projected,Percentage,0.029,Share of vehicle kilometres travelled that use electricity
2026,Environmental,Projected,Percentage,0.04,Share of vehicle kilometres travelled that use electricity
2026,Growth,Projected,Percentage,0.04,Share of vehicle kilometres travelled that use electricity
2026,Innovation,Projected,Percentage,0.04,Share of vehicle kilometres travelled that use electricity
2026,Reference,Projected,Percentage,0.033,Share of vehicle kilometres travelled that use electricity
2027,Constraint,Projected,Percentage,0.033,Share of vehicle kilometres travelled that use electricity
2027,Environmental,Projected,Percentage,0.051,Share of vehicle kilometres travelled that use electricity
2027,Growth,Projected,Percentage,0.051,Share of vehicle kilometres travelled that use electricity
2027,Innovation,Projected,Percentage,0.051,Share of vehicle kilometres travelled that use electricity
2027,Reference,Projected,Percentage,0.041,Share of vehicle kilometres travelled that use electricity
2028,Constraint,Projected,Percentage,0.039,Share of vehicle kilometres travelled that use electricity
2028,Environmental,Projected,Percentage,0.063,Share of vehicle kilometres travelled that use electricity
