TimePeriod,Variable,Value,Unit,Scenario,Status
2050,North Island share of national demand,0.558,Percentage,Innovation,Projected
2024,South Island share of national demand,0.39,Percentage,Innovation,Projected
2025,South Island share of national demand,0.392,Percentage,Innovation,Projected
2026,South Island share of national demand,0.394,Percentage,Innovation,Projected
2027,South Island share of national demand,0.396,Percentage,Innovation,Projected
2028,South Island share of national demand,0.398,Percentage,Innovation,Projected
2029,South Island share of national demand,0.4,Percentage,Innovation,Projected
2030,South Island share of national demand,0.402,Percentage,Innovation,Projected
2031,South Island share of national demand,0.404,Percentage,Innovation,Projected
2032,South Island share of national demand,0.406,Percentage,Innovation,Projected
2033,South Island share of national demand,0.408,Percentage,Innovation,Projected
2034,South Island share of national demand,0.41,Percentage,Innovation,Projected
2035,South Island share of national demand,0.412,Percentage,Innovation,Projected
2036,South Island share of national demand,0.414,Percentage,Innovation,Projected
2037,South Island share of national demand,0.416,Percentage,Innovation,Projected
2038,South Island share of national demand,0.418,Percentage,Innovation,Projected
2039,South Island share of national demand,0.42,Percentage,Innovation,Projected
2040,South Island share of national demand,0.422,Percentage,Innovation,Projected
2041,South Island share of national demand,0.424,Percentage,Innovation,Projected
2042,South Island share of national demand,0.426,Percentage,Innovation,Projected
2043,South Island share of national demand,0.428,Percentage,Innovation,Projected
2044,South Island share of national demand,0.43,Percentage,Innovation,Projected
2045,South Island share of national demand,0.432,Percentage,Innovation,Projected
2046,South Island share of national demand,0.434,Percentage,Innovation,Projected
2047,South Island share of national demand,0.436,Percentage,Innovation,Projected
2048,South Island share of national demand,0.438,Percentage,Innovation,Projected
2049,South Island share of national demand,0.44,Percentage,Innovation,Projected
2050,South Island share of national demand,0.442,Percentage,Innovation,Projected
2024,North Island share of national demand,0.61,Percentage,Environmental,Projected
2025,North Island share of national demand,0.61,Percentage,Environmental,Projected
2026,North Island share of national demand,0.61,Percentage,Environmental,Projected
2027,North Island share of national demand,0.61,Percentage,Environmental,Projected
2028,North Island share of national demand,0.61,Percentage,Environmental,Projected
2029,North Island share of national demand,0.61,Percentage,Environmental,Projected
2030,North Island share of national demand,0.61,Percentage,Environmental,Projected
2031,North Island share of national demand,0.61,Percentage,Environmental,Projected
2032,North Island share of national demand,0.61,Percentage,Environmental,Projected
2033,North Island share of national demand,0.61,Percentage,Environmental,Projected
2034,North Island share of national demand,0.61,Percentage,Environmental,Projected
2035,North Island share of national demand,0.61,Percentage,Environmental,Projected
2036,North Island share of national demand,0.61,Percentage,Environmental,Projected
2037,North Island share of national demand,0.61,Percentage,Environmental,Projected
2038,North Island share of national demand,0.61,Percentage,Environmental,Projected
2039,North Island share of national demand,0.61,Percentage,Environmental,Projected
2040,North Island share of national demand,0.61,Percentage,Environmental,Projected
2041,North Island share of national demand,0.61,Percentage,Environmental,Projected
2042,North Island share of national demand,0.61,Percentage,Environmental,Projected
2043,North Island share of national demand,0.61,Percentage,Environmental,Projected
2044,North Island share of national demand,0.61,Percentage,Environmental,Projected
2045,North Island share of national demand,0.61,Percentage,Environmental,Projected
2046,North Island share of national demand,0.61,Percentage,Environmental,Projected
2047,North Island share of national demand,0.61,Percentage,Environmental,Projected
2048,North Island share of national demand,0.61,Percentage,Environmental,Projected
2049,North Island share of national demand,0.61,Percentage,Environmental,Projected
2050,North Island share of national demand,0.61,Percentage,Environmental,Projected
2024,South Island share of national demand,0.39,Percentage,Environmental,Projected
2025,South Island share of national demand,0.39,Percentage,Environmental,Projected
2026,South Island share of national demand,0.39,Percentage,Environmental,Projected
2027,South Island share of national demand,0.39,Percentage,Environmental,Projected
2028,South Island share of national demand,0.39,Percentage,Environmental,Projected
2029,South Island share of national demand,0.39,Percentage,Environmental,Projected
2030,South Island share of national demand,0.39,Percentage,Environmental,Projected
2031,South Island share of national demand,0.39,Percentage,Environmental,Projected
2032,South Island share of national demand,0.39,Percentage,Environmental,Projected
2033,South Island share of national demand,0.39,Percentage,Environmental,Projected
2034,South Island share of national demand,0.39,Percentage,Environmental,Projected
2035,South Island share of national demand,0.39,Percentage,Environmental,Projected
2036,South Island share of national demand,0.39,Percentage,Environmental,Projected
2037,South Island share of national demand,0.39,Percentage,Environmental,Projected
2038,South Island share of national demand,0.39,Percentage,Environmental,Projected
2039,South Island share of national demand,0.39,Percentage,Environmental,Projected
2040,South Island share of national demand,0.39,Percentage,Environmental,Projected
2041,South Island share of national demand,0.39,Percentage,Environmental,Projected
2042,South Island share of national demand,0.39,Percentage,Environmental,Projected
2043,South Island share of national demand,0.39,Percentage,Environmental,Projected
2044,South Island share of national demand,0.39,Percentage,Environmental,Projected
2045,South Island share of national demand,0.39,Percentage,Environmental,Projected
2046,South Island share of national demand,0.39,Percentage,Environmental,Projected
2047,South Island share of national demand,0.39,Percentage,Environmental,Projected
2048,South Island share of national demand,0.39,Percentage,Environmental,Projected
2049,South Island share of national demand,0.39,Percentage,Environmental,Projected
2050,South Island share of national demand,0.39,Percentage,Environmental,Projected
