TimePeriod,Scenario,Sector,Variable,Status,Unit,Value
1997,Environmental,Residential,Electricity demand,Historical,TWh,11.035
1997,Environmental,Transport,Electricity demand,Historical,TWh,0.072
1997,Growth,Commercial,Electricity demand,Historical,TWh,6.432
1997,Growth,Industrial,Electricity demand,Historical,TWh,15.714
1997,Growth,Residential,Electricity demand,Historical,TWh,11.035
1997,Growth,Transport,Electricity demand,Historical,TWh,0.072
1997,Innovation,Commercial,Electricity demand,Historical,TWh,6.432
1997,Innovation,Industrial,Electricity demand,Historical,TWh,15.714
1997,Innovation,Residential,Electricity demand,Historical,TWh,11.035
1997,Innovation,Transport,Electricity demand,Historical,TWh,0.072
1997,Reference,Commercial,Electricity demand,Historical,TWh,6.432
1997,Reference,Industrial,Electricity demand,Historical,TWh,15.714
1997,Reference,Residential,Electricity demand,Historical,TWh,11.035
1997,Reference,Transport,Electricity demand,Historical,TWh,0.072
1998,Constraint,Commercial,Electricity demand,Historical,TWh,6.451
1998,Constraint,Industrial,Electricity demand,Historical,TWh,15.645
1998,Constraint,Residential,Electricity demand,Historical,TWh,10.8
1998,Constraint,Transport,Electricity demand,Historical,TWh,0.073
1998,Environmental,Commercial,Electricity demand,Historical,TWh,6.451
1998,Environmental,Industrial,Electricity demand,Historical,TWh,15.645
1998,Environmental,Residential,Electricity demand,Historical,TWh,10.8
1998,Environmental,Transport,Electricity demand,Historical,TWh,0.073
1998,Growth,Commercial,Electricity demand,Historical,TWh,6.451
1998,Growth,Industrial,Electricity demand,Historical,TWh,15.645
1998,Growth,Residential,Electricity demand,Historical,TWh,10.8
1998,Growth,Transport,Electricity demand,Historical,TWh,0.073
1998,Innovation,Commercial,Electricity demand,Historical,TWh,6.451
1998,Innovation,Industrial,Electricity demand,Historical,TWh,15.645
1998,Innovation,Residential,Electricity demand,Historical,TWh,10.8
1998,Innovation,Transport,Electricity demand,Historical,TWh,0.073
1998,Reference,Commercial,Electricity demand,Historical,TWh,6.451
1998,Reference,Industrial,Electricity demand,Historical,TWh,15.645
1998,Reference,Residential,Electricity demand,Historical,TWh,10.8
1998,Reference,Transport,Electricity demand,Historical,TWh,0.073
1999,Constraint,Commercial,Electricity demand,Historical,TWh,6.686
1999,Constraint,Industrial,Electricity demand,Historical,TWh,16.017
1999,Constraint,Residential,Electricity demand,Historical,TWh,11.299
1999,Constraint,Transport,Electricity demand,Historical,TWh,0.074
1999,Environmental,Commercial,Electricity demand,Historical,TWh,6.686
1999,Environmental,Industrial,Electricity demand,Historical,TWh,16.017
1999,Environmental,Residential,Electricity demand,Historical,TWh,11.299
1999,Environmental,Transport,Electricity demand,Historical,TWh,0.074
1999,Growth,Commercial,Electricity demand,Historical,TWh,6.686
1999,Growth,Industrial,Electricity demand,Historical,TWh,16.017
1999,Growth,Residential,Electricity demand,Historical,TWh,11.299
1999,Growth,Transport,Electricity demand,Historical,TWh,0.074
1999,Innovation,Commercial,Electricity demand,Historical,TWh,6.686
1999,Innovation,Industrial,Electricity demand,Historical,TWh,16.017
1999,Innovation,Residential,Electricity demand,Historical,TWh,11.299
1999,Innovation,Transport,Electricity demand,Historical,TWh,0.074
1999,Reference,Commercial,Electricity demand,Historical,TWh,6.686
1999,Reference,Industrial,Electricity demand,Historical,TWh,16.017
1999,Reference,Residential,Electricity demand,Historical,TWh,11.299
1999,Reference,Transport,Electricity demand,Historical,TWh,0.074
2000,Constraint,Commercial,Electricity demand,Historical,TWh,6.904
2000,Constraint,Industrial,Electricity demand,Historical,TWh,16.508
2000,Constraint,Residential,Electricity demand,Historical,TWh,11.21
2000,Constraint,Transport,Electricity demand,Historical,TWh,0.073
2000,Environmental,Commercial,Electricity demand,Historical,TWh,6.904
2000,Environmental,Industrial,Electricity demand,Historical,TWh,16.508
2000,Environmental,Residential,Electricity demand,Historical,TWh,11.21
2000,Environmental,Transport,Electricity demand,Historical,TWh,0.073
2000,Growth,Commercial,Electricity demand,Historical,TWh,6.904
2000,Growth,Industrial,Electricity demand,Historical,TWh,16.508
