TimePeriod,Variable,Scenario,Sector,Unit,Value
2020,Total capacity,Growth,Industrial,MW,14.439
2020,Total capacity,Growth,Residential,MW,112.281
2020,Total capacity,Innovation,Commercial,MW,18.258
2020,Total capacity,Innovation,Industrial,MW,14.439
2020,Total capacity,Innovation,Residential,MW,112.281
2020,Total capacity,Reference,Commercial,MW,18.258
2020,Total capacity,Reference,Industrial,MW,14.439
2020,Total capacity,Reference,Residential,MW,112.281
2021,Total ICPs,Constraint,Commercial,Number,1490
2021,Total ICPs,Constraint,Industrial,Number,1025
2021,Total ICPs,Constraint,Residential,Number,34536
2021,Total ICPs,Environmental,Commercial,Number,1490
2021,Total ICPs,Environmental,Industrial,Number,1025
2021,Total ICPs,Environmental,Residential,Number,34536
2021,Total ICPs,Growth,Commercial,Number,1490
2021,Total ICPs,Growth,Industrial,Number,1025
2021,Total ICPs,Growth,Residential,Number,34536
2021,Total ICPs,Innovation,Commercial,Number,1490
2021,Total ICPs,Innovation,Industrial,Number,1025
2021,Total ICPs,Innovation,Residential,Number,34536
2021,Total ICPs,Reference,Commercial,Number,1490
2021,Total ICPs,Reference,Industrial,Number,1025
2021,Total ICPs,Reference,Residential,Number,34536
2021,Total capacity,Constraint,Commercial,MW,25.312
2021,Total capacity,Constraint,Industrial,MW,21.575
2021,Total capacity,Constraint,Residential,MW,144.863
2021,Total capacity,Environmental,Commercial,MW,25.312
2021,Total capacity,Environmental,Industrial,MW,21.575
2021,Total capacity,Environmental,Residential,MW,144.863
2021,Total capacity,Growth,Commercial,MW,25.312
2021,Total capacity,Growth,Industrial,MW,21.575
2021,Total capacity,Growth,Residential,MW,144.863
2021,Total capacity,Innovation,Commercial,MW,25.312
2021,Total capacity,Innovation,Industrial,MW,21.575
2021,Total capacity,Innovation,Residential,MW,144.863
2021,Total capacity,Reference,Commercial,MW,25.312
2021,Total capacity,Reference,Industrial,MW,21.575
2021,Total capacity,Reference,Residential,MW,144.863
2022,Total ICPs,Constraint,Commercial,Number,1813
2022,Total ICPs,Constraint,Industrial,Number,1300
2022,Total ICPs,Constraint,Residential,Number,43082
2022,Total ICPs,Environmental,Commercial,Number,1813
2022,Total ICPs,Environmental,Industrial,Number,1300
2022,Total ICPs,Environmental,Residential,Number,43082
2022,Total ICPs,Growth,Commercial,Number,1813
2022,Total ICPs,Growth,Industrial,Number,1300
2022,Total ICPs,Growth,Residential,Number,43082
2022,Total ICPs,Innovation,Commercial,Number,1813
2022,Total ICPs,Innovation,Industrial,Number,1300
2022,Total ICPs,Innovation,Residential,Number,43082
2022,Total ICPs,Reference,Commercial,Number,1813
2022,Total ICPs,Reference,Industrial,Number,1300
2022,Total ICPs,Reference,Residential,Number,43082
2022,Total capacity,Constraint,Commercial,MW,33.906
2022,Total capacity,Constraint,Industrial,MW,33.834
2022,Total capacity,Constraint,Residential,MW,193.732
2022,Total capacity,Environmental,Commercial,MW,33.906
2022,Total capacity,Environmental,Industrial,MW,33.834
2022,Total capacity,Environmental,Residential,MW,193.732
2022,Total capacity,Growth,Commercial,MW,33.906
2022,Total capacity,Growth,Industrial,MW,33.834
2022,Total capacity,Growth,Residential,MW,193.732
2022,Total capacity,Innovation,Commercial,MW,33.906
2022,Total capacity,Innovation,Industrial,MW,33.834
2022,Total capacity,Innovation,Residential,MW,193.732
2022,Total capacity,Reference,Commercial,MW,33.906
2022,Total capacity,Reference,Industrial,MW,33.834
2022,Total capacity,Reference,Residential,MW,193.732
2023,Total ICPs,Constraint,Commercial,Number,2056
2023,Total ICPs,Constraint,Industrial,Number,1701
2023,Total ICPs,Constraint,Residential,Number,52586
2023,Total ICPs,Environmental,Commercial,Number,2056
2023,Total ICPs,Environmental,Industrial,Number,1701
2023,Total ICPs,Environmental,Residential,Number,52586
2023,Total ICPs,Growth,Commercial,Number,2056
2023,Total ICPs,Growth,Industrial,Number,1701
2023,Total ICPs,Growth,Residential,Number,52586
2023,Total ICPs,Innovation,Commercial,Number,2056
2023,Total ICPs,Innovation,Industrial,Number,1701
2023,Total ICPs,Innovation,Residential,Number,52586
2023,Total ICPs,Reference,Commercial,Number,2056
2023,Total ICPs,Reference,Industrial,Number,1701
2023,Total ICPs,Reference,Residential,Number,52586
2023,Total capacity,Constraint,Commercial,MW,45.183
2023,Total capacity,Constraint,Industrial,MW,52.049
2023,Total capacity,Constraint,Residential,MW,249.195
2023,Total capacity,Environmental,Commercial,MW,45.183
2023,Total capacity,Environmental,Industrial,MW,52.049
2023,Total capacity,Environmental,Residential,MW,249.195
2023,Total capacity,Growth,Commercial,MW,45.183
2023,Total capacity,Growth,Industrial,MW,52.049
2023,Total capacity,Growth,Residential,MW,249.195
2023,Total capacity,Innovation,Commercial,MW,45.183
2023,Total capacity,Innovation,Industrial,MW,52.049
2023,Total capacity,Innovation,Residential,MW,249.195
2023,Total capacity,Reference,Commercial,MW,45.183
2023,Total capacity,Reference,Industrial,MW,52.049
2023,Total capacity,Reference,Residential,MW,249.195
2024,Annual generation from new connections,Constraint,Commercial,MWh,11469.906
2024,Annual generation from new connections,Constraint,Industrial,MWh,10612.521
2024,Annual generation from new connections,Constraint,Residential,MWh,63590.40366
2024,Annual generation from new connections,Environmental,Commercial,MWh,11469.906
2024,Annual generation from new connections,Environmental,Industrial,MWh,10612.521
2024,Annual generation from new connections,Environmental,Residential,MWh,63590.40366
2024,Annual generation from new connections,Growth,Commercial,MWh,11469.906
2024,Annual generation from new connections,Growth,Industrial,MWh,10612.521
2024,Annual generation from new connections,Growth,Residential,MWh,63590.40366
2024,Annual generation from new connections,Innovation,Commercial,MWh,11469.906
2024,Annual generation from new connections,Innovation,Industrial,MWh,10612.521
2024,Annual generation from new connections,Innovation,Residential,MWh,63590.40366
2024,Annual generation from new connections,Reference,Commercial,MWh,11469.906
2024,Annual generation from new connections,Reference,Industrial,MWh,10612.521
2024,Annual generation from new connections,Reference,Residential,MWh,63590.40366
2024,Cumulative new ICPs,Constraint,Commercial,Number,413
2024,Cumulative new ICPs,Constraint,Industrial,Number,342
2024,Cumulative new ICPs,Constraint,Residential,Number,10519
2024,Cumulative new ICPs,Environmental,Commercial,Number,413
2024,Cumulative new ICPs,Environmental,Industrial,Number,342
2024,Cumulative new ICPs,Environmental,Residential,Number,10519
2024,Cumulative new ICPs,Growth,Commercial,Number,413
2024,Cumulative new ICPs,Growth,Industrial,Number,342
2024,Cumulative new ICPs,Growth,Residential,Number,10519
2024,Cumulative new ICPs,Innovation,Commercial,Number,413
2024,Cumulative new ICPs,Innovation,Industrial,Number,342
2024,Cumulative new ICPs,Innovation,Residential,Number,10519
2024,Cumulative new ICPs,Reference,Commercial,Number,413
2024,Cumulative new ICPs,Reference,Industrial,Number,342
2024,Cumulative new ICPs,Reference,Residential,Number,10519
2024,Cumulative new capacity,Constraint,Commercial,MW,9.030000000000001
2024,Cumulative new capacity,Constraint,Industrial,MW,8.355
2024,Cumulative new capacity,Constraint,Residential,MW,50.0633
2024,Cumulative new capacity,Environmental,Commercial,MW,9.030000000000001
2024,Cumulative new capacity,Environmental,Industrial,MW,8.355
2024,Cumulative new capacity,Environmental,Residential,MW,50.0633
2024,Cumulative new capacity,Growth,Commercial,MW,9.030000000000001
2024,Cumulative new capacity,Growth,Industrial,MW,8.355
2024,Cumulative new capacity,Growth,Residential,MW,50.0633
2024,Cumulative new capacity,Innovation,Commercial,MW,9.030000000000001
2024,Cumulative new capacity,Innovation,Industrial,MW,8.355
2024,Cumulative new capacity,Innovation,Residential,MW,50.0633
2024,Cumulative new capacity,Reference,Commercial,MW,9.030000000000001
2024,Cumulative new capacity,Reference,Industrial,MW,8.355
2024,Cumulative new capacity,Reference,Residential,MW,50.0633
2024,Total ICPs,Constraint,Commercial,Number,2469
2024,Total ICPs,Constraint,Industrial,Number,2043
2024,Total ICPs,Constraint,Residential,Number,63105
2024,Total ICPs,Environmental,Commercial,Number,2469
2024,Total ICPs,Environmental,Industrial,Number,2043
2024,Total ICPs,Environmental,Residential,Number,63105
2024,Total ICPs,Growth,Commercial,Number,2469
2024,Total ICPs,Growth,Industrial,Number,2043
2024,Total ICPs,Growth,Residential,Number,63105
2024,Total ICPs,Innovation,Commercial,Number,2469
2024,Total ICPs,Innovation,Industrial,Number,2043
2024,Total ICPs,Innovation,Residential,Number,63105
2024,Total ICPs,Reference,Commercial,Number,2469
2024,Total ICPs,Reference,Industrial,Number,2043
2024,Total ICPs,Reference,Residential,Number,63105
2024,Total capacity,Constraint,Commercial,MW,54.213
2024,Total capacity,Constraint,Industrial,MW,60.404
2024,Total capacity,Constraint,Residential,MW,299.2583
2024,Total capacity,Environmental,Commercial,MW,54.213
2024,Total capacity,Environmental,Industrial,MW,60.404
2024,Total capacity,Environmental,Residential,MW,299.2583
2024,Total capacity,Growth,Commercial,MW,54.213
2024,Total capacity,Growth,Industrial,MW,60.404
2024,Total capacity,Growth,Residential,MW,299.2583
2024,Total capacity,Innovation,Commercial,MW,54.213
2024,Total capacity,Innovation,Industrial,MW,60.404
2024,Total capacity,Innovation,Residential,MW,299.2583
2024,Total capacity,Reference,Commercial,MW,54.213
2024,Total capacity,Reference,Industrial,MW,60.404
2024,Total capacity,Reference,Residential,MW,299.2583
2025,Annual generation from new connections,Constraint,Commercial,MWh,23079.534
2025,Annual generation from new connections,Constraint,Industrial,MWh,21275.85
2025,Annual generation from new connections,Constraint,Residential,MWh,128437.79724
2025,Annual generation from new connections,Environmental,Commercial,MWh,23442.8112
2025,Annual generation from new connections,Environmental,Industrial,MWh,21593.4
2025,Annual generation from new connections,Environmental,Residential,MWh,131623.58586
2025,Annual generation from new connections,Growth,Commercial,MWh,23358.978
2025,Annual generation from new connections,Growth,Industrial,MWh,21498.135
2025,Annual generation from new connections,Growth,Residential,MWh,130347.66996
2025,Annual generation from new connections,Innovation,Commercial,MWh,23442.8112
2025,Annual generation from new connections,Innovation,Industrial,MWh,21593.4
2025,Annual generation from new connections,Innovation,Residential,MWh,131623.58586
2025,Annual generation from new connections,Reference,Commercial,MWh,23247.2004
2025,Annual generation from new connections,Reference,Industrial,MWh,21402.87
2025,Annual generation from new connections,Reference,Residential,MWh,129712.69698
2025,Cumulative new ICPs,Constraint,Commercial,Number,831
2025,Cumulative new ICPs,Constraint,Industrial,Number,685
2025,Cumulative new ICPs,Constraint,Residential,Number,21246
2025,Cumulative new ICPs,Environmental,Commercial,Number,844
2025,Cumulative new ICPs,Environmental,Industrial,Number,695
2025,Cumulative new ICPs,Environmental,Residential,Number,21773
2025,Cumulative new ICPs,Growth,Commercial,Number,841
2025,Cumulative new ICPs,Growth,Industrial,Number,692
2025,Cumulative new ICPs,Growth,Residential,Number,21562
2025,Cumulative new ICPs,Innovation,Commercial,Number,844
2025,Cumulative new ICPs,Innovation,Industrial,Number,695
2025,Cumulative new ICPs,Innovation,Residential,Number,21773
2025,Cumulative new ICPs,Reference,Commercial,Number,837
2025,Cumulative new ICPs,Reference,Industrial,Number,689
2025,Cumulative new ICPs,Reference,Residential,Number,21457
2025,Cumulative new capacity,Constraint,Commercial,MW,18.17
2025,Cumulative new capacity,Constraint,Industrial,MW,16.75
2025,Cumulative new capacity,Constraint,Residential,MW,101.1162
2025,Cumulative new capacity,Environmental,Commercial,MW,18.456
2025,Cumulative new capacity,Environmental,Industrial,MW,17
2025,Cumulative new capacity,Environmental,Residential,MW,103.6243
