TimePeriod,Scenario,Status,Unit,Value
2010,Growth,Historical,TWh,40.578
2010,Innovation,Historical,TWh,40.578
2010,Reference,Historical,TWh,40.578
2011,Constraint,Historical,TWh,40.335
2011,Environmental,Historical,TWh,40.335
2011,Growth,Historical,TWh,40.335
2011,Innovation,Historical,TWh,40.335
2011,Reference,Historical,TWh,40.335
2012,Constraint,Historical,TWh,39.986
2012,Environmental,Historical,TWh,39.986
2012,Growth,Historical,TWh,39.986
2012,Innovation,Historical,TWh,39.986
2012,Reference,Historical,TWh,39.986
2013,Constraint,Historical,TWh,39.316
2013,Environmental,Historical,TWh,39.316
2013,Growth,Historical,TWh,39.316
2013,Innovation,Historical,TWh,39.316
2013,Reference,Historical,TWh,39.316
2014,Constraint,Historical,TWh,40.287
2014,Environmental,Historical,TWh,40.287
2014,Growth,Historical,TWh,40.287
2014,Innovation,Historical,TWh,40.287
2014,Reference,Historical,TWh,40.287
2015,Constraint,Historical,TWh,40.893
2015,Environmental,Historical,TWh,40.893
2015,Growth,Historical,TWh,40.893
2015,Innovation,Historical,TWh,40.893
2015,Reference,Historical,TWh,40.893
2016,Constraint,Historical,TWh,40.225
2016,Environmental,Historical,TWh,40.225
2016,Growth,Historical,TWh,40.225
2016,Innovation,Historical,TWh,40.225
2016,Reference,Historical,TWh,40.225
2017,Constraint,Historical,TWh,39.946
2017,Environmental,Historical,TWh,39.946
2017,Growth,Historical,TWh,39.946
2017,Innovation,Historical,TWh,39.946
2017,Reference,Historical,TWh,39.946
2018,Constraint,Historical,TWh,40.314
2018,Environmental,Historical,TWh,40.314
2018,Growth,Historical,TWh,40.314
2018,Innovation,Historical,TWh,40.314
2018,Reference,Historical,TWh,40.314
2019,Constraint,Historical,TWh,40.534
2019,Environmental,Historical,TWh,40.534
2019,Growth,Historical,TWh,40.534
2019,Innovation,Historical,TWh,40.534
2019,Reference,Historical,TWh,40.534
2020,Constraint,Historical,TWh,39.962
2020,Environmental,Historical,TWh,39.962
2020,Growth,Historical,TWh,39.962
2020,Innovation,Historical,TWh,39.962
2020,Reference,Historical,TWh,39.962
2021,Constraint,Historical,TWh,39.923
2021,Environmental,Historical,TWh,39.923
2021,Growth,Historical,TWh,39.923
2021,Innovation,Historical,TWh,39.923
2021,Reference,Historical,TWh,39.923
2022,Constraint,Historical,TWh,39.43
2022,Environmental,Historical,TWh,39.43
2022,Growth,Historical,TWh,39.43
2022,Innovation,Historical,TWh,39.43
2022,Reference,Historical,TWh,39.43
2023,Constraint,Historical,TWh,39.62
