TimePeriod,Status,Value,Variable,Unit,Scenario
2008,Historical,4257700,Population,Number,Environmental
2009,Historical,4298000,Population,Number,Environmental
2010,Historical,4348200,Population,Number,Environmental
2011,Historical,4383200,Population,Number,Environmental
2012,Historical,4407300,Population,Number,Environmental
2013,Historical,4439000,Population,Number,Environmental
2014,Historical,4508800,Population,Number,Environmental
2015,Historical,4600600,Population,Number,Environmental
2016,Historical,4704600,Population,Number,Environmental
2017,Historical,4805200,Population,Number,Environmental
2018,Historical,4893400,Population,Number,Environmental
2019,Historical,4972300,Population,Number,Environmental
2020,Historical,5086500,Population,Number,Environmental
2021,Historical,5109600,Population,Number,Environmental
2022,Historical,5116000,Population,Number,Environmental
2023,Historical,5221400,Population,Number,Environmental
2024,Projected,5269198.358,Population,Number,Environmental
2025,Projected,5316866.119,Population,Number,Environmental
2026,Projected,5364533.881,Population,Number,Environmental
2027,Projected,5412201.642,Population,Number,Environmental
2028,Projected,5460000,Population,Number,Environmental
2029,Projected,5480788.609,Population,Number,Environmental
2030,Projected,5501577.218,Population,Number,Environmental
2031,Projected,5522365.827,Population,Number,Environmental
2032,Projected,5543211.391,Population,Number,Environmental
2033,Projected,5564000,Population,Number,Environmental
2034,Projected,5601779.299,Population,Number,Environmental
2035,Projected,5639558.598,Population,Number,Environmental
2036,Projected,5677441.402,Population,Number,Environmental
2037,Projected,5715220.701,Population,Number,Environmental
2038,Projected,5753000,Population,Number,Environmental
2039,Projected,5787181.271,Population,Number,Environmental
2040,Projected,5821456.188,Population,Number,Environmental
2041,Projected,5855637.459,Population,Number,Environmental
2042,Projected,5889818.729,Population,Number,Environmental
2043,Projected,5924000,Population,Number,Environmental
2044,Projected,5954650.246,Population,Number,Environmental
2045,Projected,5985216.749,Population,Number,Environmental
2046,Projected,6015783.251,Population,Number,Environmental
2047,Projected,6046349.754,Population,Number,Environmental
2048,Projected,6077000,Population,Number,Environmental
2049,Projected,6103385.542,Population,Number,Environmental
2050,Projected,6129771.084,Population,Number,Environmental
