TimePeriod,Status,Value,Variable,Unit,Scenario
2013,Historical,209961,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2014,Historical,217869,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2015,Historical,225790,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2016,Historical,234698,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2017,Historical,242552,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2018,Historical,251033,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2019,Historical,258763,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2020,Historical,255219,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2021,Historical,269408,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2022,Historical,275851,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2023,Historical,277547,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2024,Projected,285968,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2025,Projected,293431,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2026,Projected,302170.5,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2027,Projected,311332.968,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2028,Projected,320987.499,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2029,Projected,330412.405,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2030,Projected,339296.466,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2031,Projected,347890.668,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2032,Projected,356549.749,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2033,Projected,364838.191,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2034,Projected,372864.197,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2035,Projected,380758.874,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2036,Projected,388332.253,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2037,Projected,395991.415,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2038,Projected,404022.577,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2039,Projected,412013.748,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2040,Projected,420059.078,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2041,Projected,428096.869,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2042,Projected,435831.756,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2043,Projected,443391.965,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2044,Projected,451123.32,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2045,Projected,459112.79,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2046,Projected,466835.622,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2047,Projected,474423.592,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2048,Projected,482221.269,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2049,Projected,489993.264,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
2050,Projected,497681.296,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Growth
1990,Historical,112594,National GDP,"Real GDP (production measure, in 2009/10 dollars, million)",Constraint
