TimePeriod,Scenario,Sector,Unit,Value,Variable,Status
2003,Growth,Industrial,Gross PJ,210.998,Total energy demand,Historical
2003,Growth,Residential,Gross PJ,76.493,Total energy demand,Historical
2003,Growth,Transport,Gross PJ,183.231,Total energy demand,Historical
2003,Innovation,Commercial,Gross PJ,43.866,Total energy demand,Historical
2003,Innovation,Industrial,Gross PJ,210.998,Total energy demand,Historical
2003,Innovation,Residential,Gross PJ,76.493,Total energy demand,Historical
2003,Innovation,Transport,Gross PJ,183.231,Total energy demand,Historical
2003,Reference,Commercial,Gross PJ,43.866,Total energy demand,Historical
2003,Reference,Industrial,Gross PJ,210.998,Total energy demand,Historical
2003,Reference,Residential,Gross PJ,76.493,Total energy demand,Historical
2003,Reference,Transport,Gross PJ,183.231,Total energy demand,Historical
2004,Constraint,Commercial,Gross PJ,47.338,Total energy demand,Historical
2004,Constraint,Industrial,Gross PJ,209.263,Total energy demand,Historical
2004,Constraint,Residential,Gross PJ,77.958,Total energy demand,Historical
2004,Constraint,Transport,Gross PJ,187.582,Total energy demand,Historical
2004,Environmental,Commercial,Gross PJ,47.338,Total energy demand,Historical
2004,Environmental,Industrial,Gross PJ,209.263,Total energy demand,Historical
2004,Environmental,Residential,Gross PJ,77.958,Total energy demand,Historical
2004,Environmental,Transport,Gross PJ,187.582,Total energy demand,Historical
2004,Growth,Commercial,Gross PJ,47.338,Total energy demand,Historical
2004,Growth,Industrial,Gross PJ,209.263,Total energy demand,Historical
2004,Growth,Residential,Gross PJ,77.958,Total energy demand,Historical
2004,Growth,Transport,Gross PJ,187.582,Total energy demand,Historical
2004,Innovation,Commercial,Gross PJ,47.338,Total energy demand,Historical
2004,Innovation,Industrial,Gross PJ,209.263,Total energy demand,Historical
2004,Innovation,Residential,Gross PJ,77.958,Total energy demand,Historical
2004,Innovation,Transport,Gross PJ,187.582,Total energy demand,Historical
2004,Reference,Commercial,Gross PJ,47.338,Total energy demand,Historical
2004,Reference,Industrial,Gross PJ,209.263,Total energy demand,Historical
2004,Reference,Residential,Gross PJ,77.958,Total energy demand,Historical
2004,Reference,Transport,Gross PJ,187.582,Total energy demand,Historical
2005,Constraint,Commercial,Gross PJ,48.461,Total energy demand,Historical
2005,Constraint,Industrial,Gross PJ,198.626,Total energy demand,Historical
2005,Constraint,Residential,Gross PJ,76.919,Total energy demand,Historical
2005,Constraint,Transport,Gross PJ,188.728,Total energy demand,Historical
2005,Environmental,Commercial,Gross PJ,48.461,Total energy demand,Historical
2005,Environmental,Industrial,Gross PJ,198.626,Total energy demand,Historical
2005,Environmental,Residential,Gross PJ,76.919,Total energy demand,Historical
2005,Environmental,Transport,Gross PJ,188.728,Total energy demand,Historical
2005,Growth,Commercial,Gross PJ,48.461,Total energy demand,Historical
2005,Growth,Industrial,Gross PJ,198.626,Total energy demand,Historical
2005,Growth,Residential,Gross PJ,76.919,Total energy demand,Historical
